Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
n.a.	AF		BR	0	0.11181593
AD			BR	37.6521051	2.43611546
PT	AO		BR	430.5139796	-29.84662544
n.a.	AI		BR	0	77.65495311
BE	AR		BR	74.07463749	0
IT	NL	AR	BR	5.155452136	0
n.a.	AW		BR	0	0.91109383
AU			BR	1443.111528	2701.915597
CH	JY	AU	BR	89.65101418	167.8522199
SG	AU		BR	0.62255144	1.165593521
GB	AU		BR	7.868391501	14.73186882
AT			BR	260.6650564	571.7136154
DE	AT		BR	4.334899459	9.507684217
DE	LI	AT	BR	4.104379476	9.002087439
TR	AT		BR	143.5727091	314.8963415
BR	BS		BR	69.93165811	683.1298254
n.a.	BS		BR	0.016370863	0.159919346
n.a.	BH		BR	0	1.23586474
CN	BB		BR	318.5745538	459.8827976
n.a.	BY		BR	0	0.80338091
BE			BR	1002.420065	2299.642592
FR	BE		BR	12.95966233	29.73064138
DE	BE		BR	14.52481625	33.32124651
IT	BE		BR	2.241619753	5.142479125
CH	BE		BR	12.21372776	28.0193998
n.a.	BE		BR	47.72157064	109.4776134
BR	BE		BR	0.028548338	0.065492477
CL	BE		BR	4.779933092	10.96560026
CN	BE		BR	52.43923291	120.3003588
FR	BE		BR	2342.323755	5373.503244
DE	BE		BR	26.50891349	60.81385304
IN	BE		BR	14.49696824	33.25736065
JP	BE		BR	68.82679098	157.8949041
BE	LU	BE	BR	11.31421859	25.95584413
CA	LU	BE	BR	13.99788203	32.11241159
FR	LU	BE	BR	33.98592254	77.96679031
US	LU	BE	BR	0.588811528	1.350787077
DE	MT	BE	BR	0.096363664	0.221066989
NL	BE		BR	11.18628333	25.66234904
SG	BE		BR	12.95662435	29.72367198
ZA	BE		BR	0.123737374	0.283864764
SE	BE		BR	5.294138995	12.14523526
TN	BE		BR	0.132592593	0.304179439
GB	BE		BR	428.0113134	981.896792
US	BE		BR	69.02985655	158.3607549
n.a.	BE		BR	0.035390947	0.081190043
n.a.	BZ		BR	0	51.45623876
BR	BM		BR	6310.334051	2146.965071
HK	BM		BR	52.07397277	17.71712872
CN	BM		BR	0.63471937	0.215950583
NO	BM		BR	126.1241418	42.91121911
GB	BM		BR	1210.521801	411.8558549
US	BM		BR	1675.033652	569.8967306
CA	BM		BR	37.53456319	12.77038513
HK	BM		BR	12.22799458	4.160330822
CN	BM		BR	14.01256456	4.7674951
US	IE	BM	BR	170.7476759	58.09348496
NL	BM		BR	59.40180905	20.2102786
US	CH	BM	BR	4.228448267	1.438645032
US	BM		BR	2.385515847	0.811624101
n.a.	BO		BR	0	36.78626061
n.a.	BW		BR	0	0.02441252
n.a.	BN		BR	0	15.65394614
n.a.	BG		BR	0	0.24339263
n.a.	KH		BR	0	0.10072255
BR	CA		BR	12.66211849	67.84795482
CA			BR	1365.037076	7314.334796
CA	KY	CA	BR	0.596519328	3.19635426
US	CA		BR	219.5655209	1176.50704
CA	KY		BR	29.05988589	206.7036786
CN	KY		BR	46.47503007	330.5780249
NO	KY		BR	74.6511342	530.9953422
PT	KY		BR	11.44834424	81.43235237
SG	KY		BR	1.16460527	8.283865755
US	KY		BR	16.4572151	117.0605733
CN	KY		BR	11.95203014	85.01508251
FR	KY		BR	65.86882167	468.5265385
US	IE	KY	BR	28.93885949	205.8428149
KW	KY		BR	4.482633745	31.88508339
US	LU	KY	BR	3.806222425	27.07375315
MY	KY		BR	5.087075848	36.18449485
TW	KY		BR	52.05978647	370.3025336
n.a.	VG	KY	BR	11.07689577	78.79023033
US	BM	CL	BR	9.818765945	25.29182148
CL			BR	2190.28161	5641.871064
DE	CL		BR	4.544268078	11.70542384
IT	CL		BR	999.889917	2575.582046
PE	CL		BR	35.5223594	91.50082376
ES	CL		BR	102.4635145	263.9322428
SE	CL		BR	7.418374486	19.10873568
US	CL		BR	67.03055274	172.6616953
n.a.	CL		BR	10.27692991	26.47199028
HK	BM	HK	BR	20.34717849	30.36729754
CN	KY	HK	BR	9.541666667	14.24053123
BR	HK		BR	1.757154606	2.622478433
CN	HK		BR	296.5328908	442.5627135
ID	HK		BR	84.01650033	125.3910494
TW	HK		BR	4.063191587	6.064140438
CN	HK		BR	639.4207727	954.3082776
DE	HK		BR	10.55351843	15.7506769
MY	HK		BR	2.971587412	4.434967686
GB	HK		BR	29.40793644	43.89009299
CN	KY	CN	BR	6.209635417	4.27082617
CN			BR	2632.902292	1810.841903
CO			BR	1009.833552	873.0726124
ES	CO		BR	2.769386372	2.39433062
n.a.	CO		BR	0.432642487	0.374050066
n.a.	1		BR	0	0.17757546
n.a.	CR		BR	0	24.98138267
US	CW		BR	2.007710376	13.09907922
IT	NL	CW	BR	79.71016626	520.0599623
n.a.	CY		BR	0	266.7469922
n.a.	CZ		BR	0	3.45379997
AT	DK		BR	0.028806818	0.018354139
DK	BS	DK	BR	0.42508858	0.270843345
CL	DK		BR	0.391781832	0.249622094
DK			BR	1154.577402	735.6339826
DE	DK		BR	14.14243757	9.010792741
IS	DK		BR	5.317541152	3.388048274
US	IE	DK	BR	19.82013289	12.62831168
JP	DK		BR	85.55583142	54.51152679
n.a.	LU	DK	BR	0.781234568	0.497760215
NL	DK		BR	0.026325649	0.016773273
SE	DK		BR	26.65512482	16.98319713
CH	DK		BR	0.582911036	0.371399238
US	DK		BR	84.15855493	53.62125814
n.a.	DO		BR	0	13.02239598
n.a.	EE		BR	0	0.8943202
n.a.	ET		BR	0	1.10879263
DK	FI		BR	4.865358527	4.971979103
FI			BR	357.2168704	365.0450024
SE	FI		BR	10.05781954	10.27822889
DK	CH	FI	BR	0.174598139	0.178424322
TW	FI		BR	8.525399202	8.712226744
n.a.	FI		BR	0.772123016	0.789043496
AU	FR		BR	1.964991854	2.075564894
AT	FR		BR	7.486977109	7.908280545
BE	FR		BR	17.53149883	18.51802257
n.a.	BE	FR	BR	0.022526636	0.023794244
CA	FR		BR	1.245122354	1.315187258
US	KY	FR	BR	0.469478625	0.495896892
CN	FR		BR	28.14548891	29.7292778
US	CW	FR	BR	61.35698129	64.80963069
DK	FR		BR	0.29447323	0.31104368
FR			BR	18646.84865	19696.1348
DE	FR		BR	121.937163	128.7987502
IR	FR		BR	0.781735751	0.825725195
GB	IM	FR	BR	0.028282828	0.029874345
IT	FR		BR	10.17651603	10.74916386
JP	FR		BR	99.69965671	105.309906
IT	JY	FR	BR	2.687313988	2.838533178
GB	JY	FR	BR	10.93971275	11.5553068
LB	FR		BR	7.955726788	8.403407472
FR	LU	FR	BR	4.495776661	4.74876076
IN	LU	FR	BR	32.78265325	34.62738233
SA	LU	FR	BR	1.218434343	1.286997472
US	LU	FR	BR	6.050876029	6.391367902
n.a.	LU	FR	BR	0.211876856	0.223799484
BE	NL	FR	BR	307.8836611	325.2087367
FR	NL	FR	BR	392.580221	414.6712991
NL	FR		BR	0.016246853	0.017161087
SE	NL	FR	BR	3.250697302	3.433618917
US	NL	FR	BR	31.24919743	33.00763666
n.a.	NL	FR	BR	0.323323323	0.341517212
PT	FR		BR	0.315077273	0.332807144
RU	FR		BR	12.48924039	13.19202869
SE	FR		BR	8.103517539	8.55951463
CH	FR		BR	495.1406572	523.0029649
n.a.	CH	FR	BR	0.644416701	0.680678996
TW	FR		BR	3.982167353	4.206249885
FR	GB	FR	BR	5.658321462	5.976723701
GB	FR		BR	218.7737031	231.0844277
