Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
AR			CN	47.91807525	34.142606
AU			CN	4076.765925	7718.102339
CA	AU		CN	91.26278361	172.77801
CN	AU		CN	2.292848678	4.340803732
DK	AU		CN	30.18777435	57.15126552
FI	AU		CN	4.386712169	8.304890219
FR	AU		CN	25.52992397	48.33305849
DE	AU		CN	36.56903423	69.23221835
IN	AU		CN	121.0132952	229.101453
ID	AU		CN	15.64534967	29.61965737
JP	AU		CN	283.725724	537.1473894
MY	AU		CN	9.115693054	17.25776097
US	NL	AU	CN	11.16617643	21.13972056
SG	AU		CN	11.72381148	22.19543101
ZA	AU		CN	56.84243331	107.6136638
ES	AU		CN	38.62399718	73.12265862
GB	AU		CN	8.924237163	16.89529813
n.a.	GB	AU	CN	1.146694965	2.170914214
US	AU		CN	323.2445332	611.9640994
n.a.	AU		CN	3.289261276	6.227204508
AT			CN	653.0571564	2006.94916
BE	AT		CN	33.224465	102.1040983
NL	KY	AT	CN	31.94011395	98.15708199
CN	AT		CN	12.73609209	39.14004934
FR	AT		CN	4.96343666	15.25343523
DE	AT		CN	70.35274372	216.205241
MY	AT		CN	2.642689099	8.121406547
NZ	AT		CN	1.407605912	4.325798245
US	AT		CN	17.79462711	54.68573704
BH			CN	26.9731531	6.736825
US	BB		CN	84.39344917	84.39344917
CA	BB		CN	142.7684837	142.7684837
US	BB		CN	390.7054487	390.7054487
n.a.	BB		CN	0	6450.558078
BE			CN	4697.014891	1301.608206
CN	BE		CN	29.51344113	8.178585351
FR	BE		CN	93.41972425	25.88790595
DE	BE		CN	91.64997529	25.39748388
IT	BE		CN	28.6831512	7.948500454
NL	BE		CN	4.424022932	1.225958335
CH	BE		CN	15.60327739	4.323885354
US	BE		CN	21.38766702	5.926820237
n.a.	BE		CN	188.9835797	52.36998049
CL	BE		CN	10.36457995	2.872169374
FR	BE		CN	197.0843157	54.61480719
DE	BE		CN	108.8643122	30.16781625
IS	BE		CN	0.035274248	0.009774985
IN	BE		CN	0.003009178	0.000833885
JP	BE		CN	34.57218661	9.580434138
BE	LU	BE	CN	102.8841986	28.51064352
FR	LU	BE	CN	41.26019995	11.43377573
US	LU	BE	CN	7.94527103	2.201745197
IT	NL	BE	CN	133.4962736	36.99367561
NL	BE		CN	40.99299486	11.35972948
US	NL	BE	CN	13.3020473	3.686182466
ZA	PA	BE	CN	0.350770654	0.097203431
SG	BE		CN	18.44260404	5.110702291
SE	BE		CN	17.88648044	4.9565927
DK	CH	BE	CN	0.308419484	0.085467332
FR	GB	BE	CN	0.656144665	0.18182682
GB	BE		CN	111.9532261	31.02379728
n.a.	GB	BE	CN	2.170255328	0.60140796
US	BE		CN	250.1065183	69.30799758
n.a.	BE		CN	75.0253954	20.79058138
BZ			CN	1.690157873	1.690157873
TW	BZ		CN	4.655473028	4.655473028
n.a.	BZ		CN	0	356.5297281
HK	BM		CN	14152.81461	1197.656374
MO	BM		CN	4.635416667	0.392263763
CN	BM		CN	10558.52369	893.4959961
NO	BM		CN	11.38745737	0.963643011
SG	BM		CN	1161.358743	98.27788599
TW	BM		CN	7.110017857	0.601672419
GB	BM		CN	2052.970465	173.7289175
US	BM		CN	2850.344897	241.2052886
n.a.	BM		CN	3062.23779	259.1363419
CA	BM		CN	175.5038915	14.84890741
