Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
AL			IT	55.99983893	2.216386295
GR	AL		IT	0.347222222	3.75E-23
n.a.	AL		IT	0.750367108	80.68948472
DZ			IT	8.183180759	116.5
AD			IT	0.420524691	9.5
AR			IT	23.01486454	-7.54E-20
BR	AR		IT	0.391096693	258.6193066
GB	JY	AR	IT	0.518134715	2.65E-19
AW			IT	1.368838425	1.5
AU			IT	103.2602112	190.1373751
n.a.	BM	AU	IT	1.554404145	5.796911549
IT	AU		IT	2.794411178	46.45177358
US	AU		IT	8.26873385	22.76947066
AT			IT	1932.834356	3963.892295
n.a.	BE	AT	IT	0.598802395	0.118790565
CA	AT		IT	21.95608782	59.40075191
CN	AT		IT	4.391217565	3.014958966
n.a.	CY	AT	IT	5.333667558	0.794251407
CZ	AT		IT	1.564386771	29.12125419
FI	AT		IT	9.027777778	65.27287315
FR	AT		IT	0.081407035	0.103586368
DE	AT		IT	45.48864333	175.2724741
IT	AT		IT	44.70113917	255.0225571
JP	AT		IT	0.296023464	0.648270716
DE	LI	AT	IT	3.063664338	0.363025697
n.a.	LI	AT	IT	0.913607168	0.108256925
DE	LU	AT	IT	1.173290078	1.679022334
n.a.	LU	AT	IT	7.353138468	10.52261836
MX	AT		IT	0.516795866	9.18E-27
NL	AT		IT	0.173611111	0.081027835
n.a.	NL	AT	IT	9.491358025	4.429809724
PL	AT		IT	0.982071216	4.372905132
RU	AT		IT	28.20012995	61.17549233
SK	AT		IT	0.0327666	5.82E-28
CH	AT		IT	3.298611111	11.32613362
n.a.	CH	AT	IT	0.334407574	1.148224127
GB	AT		IT	6.951871658	19.82474276
n.a.	GB	AT	IT	2.07253886	5.910286003
US	AT		IT	0.173611111	0.145867256
HK	VG	AT	IT	21.39037433	0.11939295
n.a.	AT		IT	0.258397933	0.116329803
AZ			IT	0.259067358	0.5
IT	BS		IT	23.41852307	1.953961648
n.a.	BS		IT	6.544351455	0.546038352
BH	KY	BH	IT	34.97409326	0
BD			IT	1.82698711	0.5
BY			IT	3.742833713	0
BE			IT	818.9677389	1568.623629
FR	BE		IT	26.00371284	49.80664861
DE	BE		IT	24.750499	47.40628442
GR	BE		IT	1.388888889	2.660231686
IT	BE		IT	18.64792606	35.71761873
NL	BE		IT	0.197713088	0.378693088
RU	BE		IT	67.46506986	129.2203559
US	BE		IT	87.52957237	167.6512382
n.a.	BE		IT	131.4843514	251.8407633
n.a.	HK	BE	IT	2.714958052	0.317779383
FR	BE		IT	289.7137716	2733.687772
DE	BE		IT	2.448979422	65.56968736
IS	BE		IT	7.75844145	3.16E-24
IN	BE		IT	1.837037037	3.486034959
US	IE	BE	IT	21.18055556	73.08583461
n.a.	IE	BE	IT	80.05181347	276.2275798
IL	BE		IT	1.596806387	22.56725256
IT	BE		IT	5.920469272	173.249949
JP	BE		IT	204.9791896	2970.20914
BE	LU	BE	IT	83.55518894	840.8166839
GB	LU	BE	IT	72.29663453	727.5217408
US	LU	BE	IT	2.581554962	25.97821285
n.a.	LU	BE	IT	1.566842583	15.76715224
BE	NL	BE	IT	17.96407186	72.31158509
NL	BE		IT	10.60344169	42.68250998
n.a.	NL	BE	IT	1.368925394	5.510396856
PT	BE		IT	0.509375	2.602857187
SE	BE		IT	5.389221557	49.20964988
DK	CH	BE	IT	9.757229727	225.717298
CH	BE		IT	1.975308642	45.69548344
GB	BE		IT	0.804330811	16.64331769
US	BE		IT	205.4456247	1390.369585
n.a.	BE		IT	8.820427118	31.21428096
BJ			IT	0.120815138	0
HK	BM		IT	27.61032016	0.033736175
NL	BM		IT	18.36327345	0.022437502
RU	BM		IT	2184.312532	2.668942244
US	BM		IT	1.554404145	0.001899277
n.a.	BM		IT	0.582270053	0.000711457
HK	BM		IT	34.04427671	1.49E-05
CN	BM		IT	1.23870732	0.005588634
BA			IT	2.935334124	5
BW			IT	0.044468957	0
BR			IT	79.20369471	2.972986755
US	BR		IT	63.27345309	269.2683741
BN			IT	3.157402668	2.5
BG			IT	33.3075708	66.06017557
IT	BG		IT	2.794411178	8.713256292
JP	BG		IT	3.393213573	3.850707739
n.a.	CH	BG	IT	0.195548346	0.348566446
n.a.	BG		IT	1.441384535	0.315455446
CM			IT	0.827673952	0.5
CA			IT	379.9137651	301.4479211
IN	CA		IT	27.34530938	1.227594732
US	CA		IT	8.183632735	1.646801572
HK	KY		IT	1.909722222	0
CN	KY		IT	29.27187508	0
n.a.	KY		IT	13.42506899	0
CN	KY		IT	0.525705216	122.4291837
HK	VG	KY	IT	16.36726547	87.06354727
TD			IT	0.777202073	0
CL			IT	0.257405081	247.5640466
HK	BM	HK	IT	0.520833333	4.019578724
CN	HK		IT	490.3747606	47.75508852
n.a.	HK		IT	16.2414831	1.581674925
CN	HK		IT	13.17667245	174.5410605
US	HK		IT	0.604288499	10.5202266
HK	VG	HK	IT	1916.566866	129.517106
n.a.	VG	HK	IT	0.60653962	0.040988529
MO			IT	4.577445713	0
CN			IT	523.2355503	96.39730098
n.a.	CN		IT	7.960390756	1.070085729
CO			IT	2.816318765	2
CG			IT	0.197713088	0
CR			IT	0.246115106	8.5
CI			IT	1.158343893	2
HR			IT	16.93803245	1.71E-21
IT	HR		IT	0.003510707	2.73868289
n.a.	HR		IT	0.747728689	87.45593644
CU			IT	11.8495886	0
US	CW		IT	20.35928144	9.143888026
n.a.	CW		IT	1.955483464	0.878258984
GB	BM	CY	IT	0.375903614	1.712986576
CA	CY		IT	1.554404145	25.60453775
n.a.	KY	CY	IT	5.841455491	0
n.a.	HK	CY	IT	0.598802395	0.032156277
CN	CY		IT	3.645833333	14.329293
BE	CY		IT	60.55301877	61.13937019
IT	CY		IT	15.96806387	16.12268699
UA	CY		IT	17.20103868	17.36760103
US	CY		IT	9.908675799	10.00462421
n.a.	CY		IT	102.2742381	103.2645875
GR	CY		IT	0.199600798	9.10E-26
IN	CY		IT	9.98003992	11.5719695
IL	CY		IT	0.987654321	9.585115975
IT	CY		IT	0.185678392	9.405254941
RU	CY		IT	2.618086203	52.49680604
n.a.	GB	CY	IT	0.116438454	1.904596942
US	CY		IT	2.130338972	10.49543306
RU	VG	CY	IT	322.3552894	10.04756714
n.a.	VG	CY	IT	6.324085463	0.197116894
BG	CZ		IT	0.197713088	0.184705568
CZ			IT	49.4872688	213.3584607
IT	CZ		IT	0.412027717	0.543704095
DE	LU	CZ	IT	8.501662794	2.925450612
CZ	NL	CZ	IT	1.215277778	0.136487073
n.a.	NL	CZ	IT	0.256244918	0.028778703
n.a.	PA	CZ	IT	0.988565441	0.016245202
RU	CZ		IT	2.395209581	1.156971625
ES	CZ		IT	0.173611111	0.360713865
UA	CZ		IT	0.000585118	0.000309808
AE	CZ		IT	0.694444444	4.76E-18
n.a.	CZ		IT	0.49382716	0.052765918
BR	DK		IT	0.197713088	0.001623955
DK			IT	674.0451653	3383.283489
DE	DK		IT	4.391217565	22.17290877
IT	DK		IT	2.222222222	13.23343585
JP	DK		IT	0.330571202	0.894978802
SE	JY	DK	IT	1.041666667	2.21E-26
NL	DK		IT	0.021105528	0.013382371
NO	DK		IT	2.299775449	2.86E-26
ES	DK		IT	1.041666667	10.64646762
SE	DK		IT	0.520833333	0.848762152
IT	CH	DK	IT	58.14138339	254.0815931
CH	DK		IT	9.381237525	40.99661268
US	DK		IT	52.8182275	60.54453705
DO			IT	7.730865731	22.5
EC			IT	1.45958756	11
EG			IT	23.27124163	33
SV			IT	2.173871359	0
ER			IT	0.668414385	0
EE			IT	42.1592525	84.46354803
IT	EE		IT	0.384220065	0.05994601
n.a.	EE		IT	0.811667294	0.008470244
ET			IT	3.558835588	15
DK	FI		IT	3.592814371	-9.02E-35
FI			IT	535.6913531	-1.55E-32
ES	FI		IT	2.842377261	-2.76E-34
SE	FI		IT	69.46107784	-8.08E-35
CH	FI		IT	1.834939963	0
US	FI		IT	2.15103181	-5.22E-37
n.a.	FI		IT	0.868055556	-3.75E-38
DZ	FR		IT	1.215277778	2.85E-26
AT	FR		IT	1.041666667	2.44642976
BE	FR		IT	3138.316822	650.0884923
FR	BE	FR	IT	67.56967222	13.99675967
US	BE	FR	IT	2.07253886	0.429317287
n.a.	BE	FR	IT	20.93606027	4.336812574
HK	BM	FR	IT	0.534759358	0.600019082
RU	BM	FR	IT	0.259067358	0.29068282
FR	KY	FR	IT	90.37433155	4.22E-27
DE	KY	FR	IT	0.347222222	1.62E-29
US	KY	FR	IT	9.934718215	4.64E-28
DK	FR		IT	0.296023464	1.838161787
FR			IT	37315.54641	52030.14226
DE	FR		IT	21.34513153	91.20772308
FR	GG	FR	IT	3.572016461	8.37E-26
GB	GG	FR	IT	13.25183949	3.11E-25
IS	FR		IT	1.796407186	4.21E-26
IN	FR		IT	3.20855615	0.705969454
IE	FR		IT	1.581704706	0.611163596
IL	FR		IT	0.347222222	0.693100109
IT	FR		IT	51.68662143	387.6806179
JP	FR		IT	17.89653873	45.75273098
IT	JY	FR	IT	1.041666667	2.44E-26
SE	JY	FR	IT	7.00605085	1.64E-25
GB	JY	FR	IT	3.187467696	7.47E-26
KR	FR		IT	18.56287425	34.76760179
LB	FR		IT	10.71604938	2.51E-25
FR	LU	FR	IT	37.91021337	62.85303831
CH	LU	FR	IT	3.096654513	5.134082017
GB	LU	FR	IT	0.520833333	0.863512878
US	LU	FR	IT	12.92817631	21.43420172
n.a.	LU	FR	IT	19.00959754	31.51686198
IT	MC	FR	IT	1.243129828	2.91E-26
BE	NL	FR	IT	65.05983329	32.17011805
CN	NL	FR	IT	0.173611111	0.085845439
FR	NL	FR	IT	5.138606068	2.540885143
NL	FR		IT	5.794742327	2.865324661
US	NL	FR	IT	2.430555556	1.201836144
n.a.	NL	FR	IT	1.392029592	0.688316494
NZ	FR		IT	6.986027944	1.64E-25
RU	FR		IT	56.94814815	160.7334955
ZA	FR		IT	137.4331551	18.98884609
ES	FR		IT	7.584830339	69.32458683
SE	FR		IT	10.19003659	13.58244519
IR	CH	FR	IT	0.30617284	1.196091132
CH	FR		IT	65.43946677	255.6450338
TW	FR		IT	5.347593583	43.03889739
TH	FR		IT	9.580838323	2.60E-23
FR	GB	FR	IT	0.998003992	3.086249902
DE	GB	FR	IT	10.33591731	31.96302224
GB	FR		IT	35.87826169	110.9507402
US	GB	FR	IT	23.15369261	71.60099773
n.a.	GB	FR	IT	1.715739505	5.305791282
US	FR		IT	1080.814947	966.1172957
n.a.	FR		IT	88.42426194	44.41313607
GE			IT	2.972313556	1
AU	DE		IT	10.30562082	2.076166117
AT	DE		IT	46.60141548	39.91411629
BE	DE		IT	1.063018783	0.075995698
BR	DE		IT	44.03855911	0.106755278
CA	DE		IT	0.23815261	0.267369664
CN	KY	DE	IT	1.596806387	1.69E-28
GB	KY	DE	IT	0.070226131	7.41E-30
US	KY	DE	IT	1.336462026	1.41E-28
n.a.	KY	DE	IT	4.932101221	5.21E-28
HK	DE		IT	2.083333333	0.006969523
CN	HK	DE	IT	0.793775341	0.002655473
CN	DE		IT	34.48046864	9.204333353
HR	DE		IT	0.520833333	1.92E-27
SK	CY	DE	IT	1.388888889	0.077563301
DK	DE		IT	1.584359296	3.520495315
FI	DE		IT	0.173611111	0.495181722
FR	DE		IT	171.230784	87.56344507
DE			IT	12910.81438	20714.77979
US	GI	DE	IT	0.527240369	1.95E-27
DE	GG	DE	IT	0.798403194	2.95E-27
SE	GG	DE	IT	0.520833333	1.92E-27
GB	GG	DE	IT	3.100775194	1.14E-26
IN	DE		IT	0.095271562	0.007391748
IR	DE		IT	141.8402778	3.35657681
US	IE	DE	IT	5.902777778	0.812176983
n.a.	IE	DE	IT	2.820012995	0.388012175
IT	IM	DE	IT	70.11443404	16.88318539
IT	DE		IT	4.974297489	13.44052365
