Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
37.65	2.44	AD			BR
60.69	35.46	AE			BR
7.23	10.97	AE	ES		BR
0.45	0.44	AE	GB		BR
17.93	15.15	AO	PT		BR
3.25	4.93	AR	ES		BR
111.36	396.93	AR	LU		BR
198.44	823.02	AR	LU	US	BR
20.71	85.90	AR	US		BR
31.42	31.42	AR	VG		BR
260.67	571.71	AT			BR
6.40	8.23	AT	CH		BR
46.06	36.94	AT	DE		BR
0.03	0.02	AT	DK		BR
3.02	4.58	AT	ES		BR
7.49	7.91	AT	FR		BR
1.48	0.39	AT	IT		BR
36.22	242.98	AT	NL		BR
0.22	0.23	AT	NO		BR
5.63	6.63	AT	SE		BR
8.77	36.36	AT	US		BR
1443.11	2701.92	AU			BR
10.80	8.66	AU	DE		BR
1.96	2.08	AU	FR		BR
10.91	10.60	AU	GB		BR
17.09	114.61	AU	NL		BR
418.18	1734.35	AU	US		BR
2.27	2.27	AU	VG		BR
1002.42	2299.64	BE			BR
74.07	0.00	BE	AR		BR
16.30	24.72	BE	ES		BR
17.53	18.52	BE	FR		BR
3.67	3.56	BE	GB		BR
2.21	3.64	BE	IE		BR
18.13	50.24	BE	LU		BR
5426.32	36399.93	BE	NL		BR
11.50	9.23	BE	NL	DE	BR
307.88	325.21	BE	NL	FR	BR
14.23	2.79	BE	NL	GR	BR
2.58	2.18	BE	PT		BR
0.03	0.07	BR	BE		BR
6310.33	2146.97	BR	BM		BR
69.93	683.13	BR	BS		BR
12.66	67.85	BR	CA		BR
3696.29	4757.71	BR	CH		BR
9.36	62.77	BR	CW	NL	BR
28.53	22.88	BR	DE		BR
148.21	224.76	BR	ES		BR
171.48	166.50	BR	GB		BR
1.76	2.62	BR	HK		BR
21.93	78.18	BR	LU		BR
472.99	3177.89	BR	NL		BR
644.19	544.22	BR	PT		BR
450.29	1867.53	BR	US		BR
1365.04	7314.33	CA			BR
37.53	12.77	CA	BM		BR
32.79	26.30	CA	DE		BR
0.05	0.08	CA	ES		BR
1.25	1.32	CA	FR		BR
4.48	4.35	CA	GB		BR
1.82	0.48	CA	IT		BR
29.66	209.90	CA	KY		BR
9.07	32.33	CA	KY	LU	BR
447.69	1595.75	CA	LU		BR
14.00	32.11	CA	LU	BE	BR
211.28	1419.58	CA	NL		BR
16.28	19.16	CA	SE		BR
11.02	45.69	CA	US		BR
13.86	13.86	CA	VG		BR
4627.33	5956.11	CH			BR
12.21	28.02	CH	BE		BR
35.23	28.26	CH	DE		BR
0.58	0.37	CH	DK		BR
836.58	1268.69	CH	ES		BR
495.14	523.00	CH	FR		BR
11.93	3.16	CH	IT		BR
226.45	252.09	CH	JY		BR
89.65	167.85	CH	JY	AU	BR
1.19	1.16	CH	JY	GB	BR
22.97	81.89	CH	LU		BR
0.13	0.13	CH	LU	GB	BR
1.43	0.39	CH	LU	IT	BR
6.90	11.74	CH	MU		BR
1121.47	7522.86	CH	NL		BR
0.15	0.16	CH	NO		BR
1.91	2.25	CH	SE		BR
9.63	39.95	CH	US		BR
2190.28	5641.87	CL			BR
4.78	10.97	CL	BE		BR
0.39	0.25	CL	DK		BR
27.50	95.86	CL	PA		BR
9.47	3.88	CL	PE		BR
83.32	107.02	CL	UY		BR
2632.90	1810.84	CN			BR
318.57	459.88	CN	BB		BR
52.44	120.30	CN	BE		BR
14.65	4.98	CN	BM		BR
30.31	24.31	CN	DE		BR
28.15	29.73	CN	FR		BR
9.08	8.82	CN	GB		BR
935.95	1396.87	CN	HK		BR
269.80	71.47	CN	HK	IT	BR
18.72	66.72	CN	HK	LU	BR
64.64	419.86	CN	KY		BR
5.92	4.75	CN	KY	DE	BR
7.07	10.73	CN	KY	ES	BR
9.54	14.24	CN	KY	HK	BR
9.54	39.57	CN	KY	US	BR
0.01	0.04	CN	LU		BR
843.43	5657.84	CN	NL		BR
0.05	0.06	CN	NO		BR
158.50	133.91	CN	PT		BR
7.36	7.36	CN	VG		BR
1009.83	873.07	CO			BR
2.41	3.66	CO	ES		BR
11.60	77.97	CZ	NL		BR
14855.10	11914.27	DE			BR
4.33	9.51	DE	AT		BR
41.03	94.14	DE	BE		BR
111.50	143.10	DE	CH		BR
4.54	11.71	DE	CL		BR
14.14	9.01	DE	DK		BR
304.86	462.32	DE	ES		BR
121.94	128.80	DE	FR		BR
22.76	22.10	DE	GB		BR
10.55	15.75	DE	HK		BR
1.01	1.67	DE	IE		BR
16.40	4.34	DE	IT		BR
4.10	9.00	DE	LI	AT	BR
73.14	188.89	DE	LU		BR
0.16	0.27	DE	MT		BR
0.10	0.22	DE	MT	BE	BR
0.42	0.41	DE	MT	GB	BR
314.17	2091.34	DE	NL		BR
83.47	98.23	DE	SE		BR
0.43	0.04	DE	SI		BR
483.37	2004.74	DE	US		BR
1154.58	735.63	DK			BR
0.43	0.27	DK	BS		BR
4.81	6.20	DK	CH		BR
0.17	0.18	DK	CH	FI	BR
1.29	1.51	DK	CH	SE	BR
3.69	2.96	DK	DE		BR
0.89	1.35	DK	ES		BR
4.87	4.97	DK	FI		BR
0.29	0.31	DK	FR		BR
4.84	4.70	DK	GB		BR
31.15	208.99	DK	NL		BR
8.02	9.43	DK	SE		BR
5.59	23.20	DK	US		BR
3.72	3.72	DK	VG		BR
1.06	1.61	EE	ES		BR
33785.98	51237.18	ES			BR
13.47	20.43	ES	BE		BR
17.09	22.46	ES	CH		BR
102.46	263.93	ES	CL		BR
2.77	2.39	ES	CO		BR
33.89	33.80	ES	JY		BR
1.76	2.66	ES	LU		BR
3.15	2.66	ES	LU	PT	BR
222.52	588.14	ES	NL		BR
86.08	72.72	ES	PT		BR
357.22	365.05	FI			BR
47.37	317.77	FI	NL		BR
4.68	19.39	FI	US		BR
18646.85	19696.13	FR			BR
2355.28	5403.23	FR	BE		BR
27.98	36.01	FR	CH		BR
22.89	18.36	FR	DE		BR
281.37	426.70	FR	ES		BR
310.42	301.89	FR	GB		BR
1299.37	344.19	FR	IT		BR
65.87	468.53	FR	KY		BR
22.11	67.54	FR	LU		BR
33.99	77.97	FR	LU	BE	BR
0.18	0.15	FR	LU	DE	BR
22.67	34.37	FR	LU	ES	BR
4.83	1.30	FR	LU	IT	BR
2.08	1.75	FR	MT	PT	BR
902.01	3836.01	FR	NL		BR
168.21	255.09	FR	NL	ES	BR
19.34	20.02	FR	NO		BR
7.00	5.91	FR	PT		BR
1.30	1.53	FR	SE		BR
82.05	340.28	FR	US		BR
19121.29	18566.36	GB			BR
7.87	14.73	GB	AU		BR
428.01	981.90	GB	BE		BR
1221.11	422.13	GB	BM		BR
100.19	128.96	GB	CH		BR
