Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.00	0.00	--			CN
75.58	376.17	AE			CN
28.81	19.18	AE	ES		CN
19.50	15.86	AE	FR		CN
0.08	0.06	AE	GB		CN
12.45	43.68	AE	SG		CN
47.92	34.14	AR			CN
653.06	2006.95	AT			CN
0.03	0.17	AT	AE		CN
24.22	21.87	AT	CH		CN
104.48	171.56	AT	DE		CN
14.80	9.85	AT	ES		CN
15.84	12.88	AT	FR		CN
6.68	5.24	AT	GB		CN
196.50	747.33	AT	HK		CN
53.51	73.31	AT	NL		CN
95.61	335.52	AT	SG		CN
12.00	8.94	AT	TW		CN
59.63	38.95	AT	US		CN
4076.77	7718.10	AU			CN
2.91	2.37	AU	FR		CN
213.04	812.05	AU	HK		CN
11.20	3.34	AU	KY		CN
93.93	128.70	AU	NL		CN
4.36	2.85	AU	US		CN
135.46	135.46	AU	VG		CN
2.92	-0.07	BA			CN
6.99	26.86	BD	HK		CN
4697.01	1301.61	BE			CN
33.22	102.10	BE	AT		CN
27.42	45.03	BE	DE		CN
136.73	111.21	BE	FR		CN
7.37	28.03	BE	HK		CN
185.82	315.35	BE	LU		CN
50.90	69.74	BE	NL		CN
8.53	7.70	BE	NL	CH	CN
103.91	84.52	BE	NL	FR	CN
42.65	4.13	BE	NL	GR	CN
0.85	3.00	BE	SG		CN
26.97	6.74	BH			CN
0.59	0.25	BH	KY	IT	CN
46.25	19.99	BH	LU	IT	CN
2.83	2.83	BN			CN
561.66	435.03	BR			CN
110.63	86.82	BR	GB		CN
55.31	210.37	BR	HK		CN
0.11	0.05	BR	IT		CN
56.74	77.74	BR	NL		CN
21.59	14.10	BR	US		CN
20.63	20.63	BY	CY		CN
1.69	1.69	BZ			CN
2825.35	9972.56	CA			CN
91.26	172.78	CA	AU		CN
142.77	142.77	CA	BB		CN
175.50	14.85	CA	BM		CN
615.66	2348.69	CA	HK		CN
27.97	91.34	CA	IS		CN
2.53	1.08	CA	IT		CN
6.78	23.45	CA	LU		CN
35.82	49.08	CA	NL		CN
10.26	35.99	CA	SG		CN
80.81	52.78	CA	US		CN
191.33	191.33	CA	VG		CN
9312.90	8408.75	CH			CN
15.60	4.32	CH	BE		CN
309.55	455.41	CH	CY	IE	CN
180.24	295.98	CH	DE		CN
2.16	1.64	CH	DK		CN
95.82	77.94	CH	FR		CN
197.48	155.26	CH	GB		CN
2.36	3.88	CH	GB	DE	CN
340.18	1293.77	CH	HK		CN
29.03	5.20	CH	IN		CN
56.67	24.12	CH	IT		CN
142.16	139.22	CH	JP		CN
178.67	161.32	CH	JY		CN
230.42	68.80	CH	KY		CN
9.52	32.92	CH	LU		CN
0.00	0.00	CH	LU	GB	CN
63.94	583.08	CH	MU		CN
9.58	39.94	CH	MY		CN
581.72	797.03	CH	NL		CN
57.94	55.94	CH	SE		CN
35.97	126.24	CH	SG		CN
10.18	7.58	CH	TW		CN
71.70	46.83	CH	US		CN
23.41	24.85	CH	VG		CN
461.15	120.55	CL			CN
10.36	2.87	CL	BE		CN
9.47	101.03	CL	PA		CN
12.74	39.14	CN	AT		CN
2.29	4.34	CN	AU		CN
29.51	8.18	CN	BE		CN
17588.17	1488.26	CN	BM		CN
424.63	1614.98	CN	BM	HK	CN
460.55	631.01	CN	BM	NL	CN
80.29	281.74	CN	BM	SG	CN
124.76	124.76	CN	BM	VG	CN
85.06	476.82	CN	BM	WS	CN
214.02	755.41	CN	CA		CN
66.06	59.65	CN	CH		CN
145.60	239.09	CN	DE		CN
0.00	0.00	CN	FI		CN
5.05	4.11	CN	FR		CN
404.80	317.70	CN	GB		CN
13.65	51.93	CN	GB	HK	CN
15.71	55.13	CN	GB	SG	CN
234211.11	897390.71	CN	HK		CN
80738.83	6831.09	CN	HK	BM	CN
12.11	19.89	CN	HK	DE	CN
229.52	97.69	CN	HK	IT	CN
5613.59	1675.92	CN	HK	KY	CN
114.87	1047.48	CN	HK	MU	CN
14.38	59.95	CN	HK	MY	CN
101.56	139.15	CN	HK	NL	CN
51.48	180.66	CN	HK	SG	CN
482.90	315.41	CN	HK	US	CN
670.64	670.64	CN	HK	VG	CN
29.96	167.94	CN	HK	WS	CN
39.51	16.82	CN	IT		CN
87196.90	26037.22	CN	KY		CN
2.90	26.26	CN	KY	DE	CN
4842.29	18498.12	CN	KY	HK	CN
267.00	392.80	CN	KY	IE	CN
657.13	2306.02	CN	KY	SG	CN
422.88	276.21	CN	KY	US	CN
2678.25	2678.25	CN	KY	VG	CN
1.96	10.99	CN	KY	WS	CN
15.81	15.81	CN	MO		CN
6.82	6.82	CN	MT		CN
122.78	1144.16	CN	MU		CN
16.71	69.66	CN	MY		CN
