Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
132.7	203.2	AE			DE
5.1	236.4	AE	AT		DE
0.0	2.0	AE	CH		DE
0.1	8.0	AE	CY		DE
3.7	157.2	AE	GB		DE
2190.8	2629.3	AE	NL		DE
1.0	1.0	AF			DE
3.7	48.7	AI			DE
1.0	1.0	AL			DE
21854.8	23986.3	AT			DE
0.1	4.9	AT	BS		DE
48.2	1300.0	AT	CH		DE
1.6	120.9	AT	CZ		DE
0.1	6.7	AT	ES		DE
0.1	5.0	AT	FR		DE
1.1	20.3	AT	GB		DE
0.4	16.9	AT	IT		DE
6.6	93.5	AT	JE		DE
9.5	274.9	AT	LI		DE
0.0	3.9	AT	LI	CH	DE
124.4	791.9	AT	LI	LU	DE
63.3	925.8	AT	LU		DE
112.0	1374.7	AT	NL		DE
0.0	0.7	AT	SE		DE
10.3	276.5	AT	US		DE
99.8	715.4	AT	VG		DE
861.8	1952.3	AU			DE
0.0	1.1	AU	BE		DE
9.1	130.6	AU	CH		DE
3.4	228.6	AU	CY		DE
0.0	1.8	AU	FR		DE
66.4	966.8	AU	GB		DE
978.3	4355.8	AU	LU		DE
24.5	160.6	AU	MT	LU	DE
33.4	431.2	AU	NL		DE
0.0	0.8	AU	SE		DE
10.2	70.3	AZ			DE
1.8	53.0	BA			DE
3934.5	7403.9	BE			DE
12.0	83.7	BE	AT		DE
34.8	567.2	BE	CH		DE
3.8	103.7	BE	FR		DE
5.7	117.4	BE	GB		DE
0.4	19.4	BE	IT		DE
366.3	3640.7	BE	LU		DE
0.5	16.4	BE	LU	FR	DE
0.1	4.6	BE	LU	NL	DE
501.3	4210.4	BE	NL		DE
1.5	104.4	BE	NL	AT	DE
0.0	1.3	BE	NL	CH	DE
3.9	99.4	BE	NL	FR	DE
13.4	78.7	BG			DE
0.1	12.2	BH	IE	GB	DE
0.4	8.1	BH	NL		DE
0.1	11.9	BH	NL	FR	DE
22.0	22.0	BH	PL		DE
155.2	155.3	BR			DE
4.1	135.8	BR	AT		DE
0.1	3.9	BR	CW	NL	DE
79.3	471.1	BR	ES		DE
0.0	3.1	BR	GB		DE
0.1	6.8	BR	LU		DE
148.7	672.3	BR	NL		DE
0.7	20.4	BR	SE		DE
1.1	34.1	BY			DE
0.1	0.9	BZ	CY		DE
0.0	0.7	BZ	HK		DE
0.0	0.8	BZ	NL		DE
1186.3	1434.4	CA			DE
6.4	144.5	CA	AT		DE
1.4	36.5	CA	AU		DE
341.9	1854.0	CA	BE		DE
2.5	159.8	CA	BM		DE
0.1	4.3	CA	BS		DE
8.2	121.3	CA	CH		DE
0.2	21.9	CA	CY		DE
231.7	1493.8	CA	ES		DE
0.1	5.9	CA	FI		DE
1.5	42.2	CA	FR		DE
91.0	800.9	CA	GB		DE
7.3	148.1	CA	GG		DE
0.7	56.1	CA	GG	GB	DE
13.2	223.4	CA	IE		DE
7.8	155.8	CA	IT		DE
875.3	7495.0	CA	LU		DE
16.0	243.8	CA	LU	NL	DE
