Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
1272.5	1275.6	AE			FR
185.0	1081.5	AE	AT		FR
34.8	1199.7	AE	CH		FR
4.9	443.3	AE	DE		FR
135.8	1374.0	AE	GB		FR
8.1	98.2	AE	LU		FR
25.8	225.3	AR			FR
7.5	127.7	AR	LU		FR
25.9	326.2	AT			FR
0.1	3.5	AT	BE		FR
77.9	864.7	AT	CH		FR
2.2	32.9	AT	DE		FR
0.6	20.1	AT	ES		FR
1.0	21.9	AT	GB		FR
5.7	50.0	AT	LU		FR
1178.3	1707.9	AT	NL		FR
0.0	0.8	AT	SE		FR
9.4	196.0	AT	US		FR
0.1	1.3	AT	VG	DE	FR
572.0	602.6	AU			FR
136.8	1497.9	AU	BE		FR
725.6	1288.5	AU	CY		FR
7.1	125.8	AU	DE		FR
27.6	414.3	AU	GB		FR
0.1	16.3	AU	IE	NL	FR
7.9	176.3	AU	IT		FR
418.7	3170.6	AU	LU		FR
122.0	967.7	AU	NL		FR
38.9	699.4	AU	US		FR
36033.9	40623.9	BE			FR
5.4	107.8	BE	DE		FR
0.1	9.2	BE	ES		FR
5.5	61.5	BE	GB		FR
0.0	0.3	BE	IT		FR
1190.0	6713.5	BE	LU		FR
3.8	88.7	BE	LU	ES	FR
0.0	2.5	BE	LU	NL	FR
12.9	342.4	BE	NL		FR
527.4	2421.5	BE	NL	CH	FR
0.3	83.0	BE	NL	GR	FR
14.0	130.8	BH			FR
0.0	0.8	BH	KY	IT	FR
0.0	0.6	BH	KY	SE	FR
0.4	17.2	BH	KY	US	FR
13.4	227.0	BH	NL		FR
14.5	151.3	BJ	LU		FR
2.5	44.1	BR	CH	LU	FR
8.3	83.1	BY			FR
3443.5	3715.2	CA			FR
0.6	16.5	CA	AT		FR
43.2	350.9	CA	BE		FR
22.9	481.4	CA	CH		FR
7.4	128.0	CA	DK		FR
2.9	99.0	CA	ES		FR
148.8	1093.9	CA	GB		FR
0.0	1.1	CA	IE		FR
0.4	21.8	CA	IT		FR
0.0	2.2	CA	KY	DE	FR
0.2	11.4	CA	KY	GB	FR
186.6	882.9	CA	LU		FR
0.1	11.2	CA	LU	BE	FR
462.4	2974.6	CA	NL		FR
