Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
1139.17	1704.53	AE			IN
1.52	0.83	AE	AU		IN
0.19	0.19	AE	BH		IN
0.24	0.54	AE	GB		IN
58.60	482.69	AE	MU		IN
11.82	102.92	AE	SG		IN
5.22	8.96	AR	LU		IN
178.56	195.43	AT			IN
0.25	0.38	AT	AE		IN
5.11	30.03	AT	CH		IN
20.56	94.21	AT	DE		IN
3.83	5.87	AT	ES		IN
1.57	1.28	AT	FR		IN
16.10	25.11	AT	LU		IN
8.09	30.92	AT	NL		IN
0.01	0.02	AT	SE		IN
3.48	7.33	AT	US		IN
751.70	412.60	AU			IN
0.39	1.81	AU	DE		IN
0.08	0.13	AU	ES		IN
1.77	14.37	AU	MU		IN
97.80	373.85	AU	NL		IN
18.19	158.36	AU	SG		IN
0.62	5.14	BD	MU		IN
618.68	466.24	BE			IN
4.19	3.41	BE	FR		IN
1.84	3.04	BE	HK		IN
84.70	69.72	BE	LU		IN
1.38	11.22	BE	MU		IN
41.85	34.09	BE	NL	FR	IN
1.89	0.43	BE	NL	GR	IN
3.08	3.67	BE	TR		IN
2.91	11.12	BH	NL		IN
141.98	52.23	BR			IN
10.94	50.12	BR	DE		IN
11.37	17.45	BR	ES		IN
4.06	0.16	BR	ID		IN
12.11	25.50	BR	US		IN
734.34	688.74	CA			IN
1.31	1.43	CA	AT		IN
22.94	146.52	CA	CY		IN
2.06	4.63	CA	GB		IN
1.69	0.69	CA	IT		IN
13.71	23.54	CA	LU		IN
52.20	199.55	CA	LU	NL	IN
299.84	2441.15	CA	MU		IN
3.48	30.26	CA	SG		IN
7.82	16.46	CA	US		IN
1754.58	10306.36	CH			IN
5.90	6.46	CH	AT		IN
8.61	6.48	CH	BE		IN
24.31	31.45	CH	CY	IE	IN
18.79	86.13	CH	DE		IN
206.04	167.84	CH	FR		IN
0.02	0.05	CH	GB		IN
27.03	11.09	CH	IT		IN
51.91	304.91	CH	JY		IN
1.47	3.31	CH	JY	GB	IN
110.97	183.60	CH	JY	HK	IN
0.20	0.06	CH	KY		IN
3.35	17.60	CH	LU		IN
0.04	0.09	CH	LU	GB	IN
26.15	99.97	CH	NL		IN
17.92	14.14	CH	NL	BD	IN
0.11	0.02	CH	NO		IN
0.27	0.44	CH	SE		IN
6.99	60.88	CH	SG		IN
28.27	59.53	CH	US		IN
2.83	0.00	CL			IN
0.39	0.22	CL	DK		IN
19.39	74.13	CL	NL		IN
128.87	29.58	CL	PA		IN
791.98	567.08	CN			IN
1.81	4.43	CN	BE	JP	IN
6.12	1.38	CN	BM		IN
0.05	0.30	CN	CH		IN
12.32	56.48	CN	DE		IN
8.68	13.31	CN	ES		IN
1.74	1.42	CN	FR		IN
59.31	133.50	CN	GB		IN
116.23	192.30	CN	HK		IN
2.01	0.59	CN	HK	KY	IN
0.25	0.17	CN	IL		IN
108.55	44.52	CN	IT		IN
58.76	18.46	CN	KY		IN
5.92	27.12	CN	KY	DE	IN
6.71	11.10	CN	KY	HK	IN
2.40	5.06	CN	KY	US	IN
14.11	53.95	CN	NL		IN
4.51	0.87	CN	NZ		IN
1.81	1.75	CN	PT		IN
1.91	4.02	CN	US		IN
5.95	18.11	CN	VG		IN
1.47	2.26	CO	ES		IN
3.26	0.00	CW	KY		IN
2.88	2.88	CZ			IN
1.97	7.53	CZ	NL		IN
3.80	8.00	CZ	NL	US	IN
6726.08	30823.98	DE			IN
0.21	0.12	DE	AU		IN
5.87	4.42	DE	BE		IN
209.04	1219.58	DE	CH		IN
1.44	12.50	DE	CH	SG	IN
6.44	3.63	DE	DK		IN
72.76	59.27	DE	FR		IN
157.00	353.35	DE	GB		IN
22.03	36.44	DE	HK		IN
0.02	0.03	DE	IE		IN
89.08	36.53	DE	IT		IN
70.77	151.39	DE	LU		IN
3.21	0.55	DE	LU	NO	IN
3.13	6.58	DE	LU	US	IN
0.16	0.16	DE	MT		IN
0.49	1.10	DE	MT	GB	IN
24.38	199.02	DE	MU		IN
2.06	1.13	DE	MY		IN
87.32	337.27	DE	NL		IN
5.56	4.18	DE	NL	BE	IN
17.19	9.70	DE	NL	DK	IN
8.10	12.87	DE	SE		IN
137.62	1198.29	DE	SG		IN
113.23	238.40	DE	US		IN
816.38	460.82	DK			IN
1.19	1.12	DK	CA		IN
2.00	11.74	DK	CH		IN
0.16	0.07	DK	CH	IT	IN
0.89	1.37	DK	ES		IN
1.53	0.76	DK	FI		IN
11.89	96.68	DK	MU		IN
29.36	112.23	DK	NL		IN
1.31	2.07	DK	SE		IN
6.92	14.57	DK	US		IN
5.15	15.68	DK	VG		IN
13.38	7.75	EG			IN
1026.07	1574.48	ES			IN
56.87	31.21	ES	AU		IN
0.44	0.68	ES	CH		IN
13.50	93.84	ES	CY		IN
0.35	1.63	ES	DE		IN
13.68	5.61	ES	IT		IN
27.01	49.19	ES	NL		IN
101.67	649.46	ES	NL	CY	IN
0.69	5.99	ES	SG		IN
894.47	444.26	FI			IN
0.07	0.04	FI	AU		IN
2.42	1.73	FI	CN		IN
1.82	1.00	FI	MY		IN
36.11	138.04	FI	NL		IN
32.39	51.45	FI	SE		IN
4327.27	3524.96	FR			IN
214.69	161.66	FR	BE		IN
61.65	362.12	FR	CH		IN
118.01	540.81	FR	DE		IN
104.97	232.41	FR	GB		IN
120.23	49.31	FR	IT		IN
14.70	21.71	FR	LU		IN
20.42	15.33	FR	LU	BE	IN
22.35	34.29	FR	LU	ES	IN
468.99	1582.81	FR	NL		IN
16.46	143.31	FR	NL	SG	IN
8.62	13.68	FR	SE		IN
188.83	1644.15	FR	SG		IN
187.24	394.23	FR	US		IN
11440.88	25749.98	GB			IN
10.59	5.81	GB	AU		IN
219.24	164.62	GB	BE		IN
22.80	51.31	GB	BM		IN
108.34	1.21	GB	BW		IN
4.26	25.05	GB	CH		IN
1.11	2.49	GB	CW		IN
110.70	423.15	GB	CW	NL	IN
16.90	115.16	GB	CY		IN
32.96	151.05	GB	DE		IN
350.33	285.38	GB	FR		IN
4.87	26.84	GB	GI		IN
108.03	178.74	GB	HK		IN
5.47	7.07	GB	IE		IN
2.31	0.95	GB	IT		IN
196.23	215.28	GB	JY		IN
15.53	23.83	GB	JY	ES	IN
0.43	0.35	GB	JY	FR	IN
3.26	28.37	GB	JY	SG	IN
3.11	6.54	GB	JY	US	IN
5.76	22.03	GB	KY	NL	IN
23.45	52.77	GB	LU		IN
2.30	10.54	GB	LU	DE	IN
3.32	2.71	GB	LU	FR	IN
6.81	8.81	GB	LU	IE	IN
16.71	7.09	GB	LU	IT	IN
