Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.42	9.50	AD			IT
276.88	246.00	AE			IT
0.69	0.00	AE	CZ		IT
9.55	0.00	AE	ES		IT
46.01	0.00	AE	GB		IT
33.29	29.36	AE	LU		IT
37.62	32.98	AE	NL		IT
18.76	0.03	AE	VG	DE	IT
56.00	2.22	AL			IT
0.20	0.00	AL	RO		IT
23.01	0.00	AR			IT
4.59	0.00	AR	ES		IT
3.30	0.00	AR	UY		IT
1932.83	3963.89	AT			IT
748.77	737.73	AT	CH		IT
46.60	39.91	AT	DE		IT
12.15	4.43	AT	ES		IT
1.04	2.45	AT	FR		IT
9.11	11.74	AT	GB		IT
51.82	85.92	AT	LI		IT
3.59	0.18	AT	LI	CH	IT
9.40	20.68	AT	LU		IT
124.15	474.45	AT	NL		IT
4.43	37.89	AT	SK		IT
0.17	0.00	AT	VG	DE	IT
103.26	190.14	AU			IT
0.17	0.04	AU	CH		IT
10.31	2.08	AU	DE		IT
126.68	40.04	AU	GB		IT
7.92	6.19	AU	LU		IT
3.04	3.06	AU	NL		IT
1.37	1.50	AW			IT
0.26	0.50	AZ			IT
2.94	5.00	BA			IT
1.83	0.50	BD			IT
818.97	1568.62	BE			IT
60.55	61.14	BE	CY		IT
1.06	0.08	BE	DE		IT
0.22	0.01	BE	ES		IT
3138.32	650.09	BE	FR		IT
18.76	2.14	BE	GB		IT
203.01	928.01	BE	LU		IT
36.69	79.93	BE	NL		IT
65.06	32.17	BE	NL	FR	IT
0.92	0.02	BE	NL	GR	IT
23.75	16.20	BE	NL	LU	IT
33.31	66.06	BG			IT
0.20	0.18	BG	CZ		IT
2.33	5.76	BG	GB		IT
34.97	0.00	BH	KY		IT
1.40	0.00	BH	KY	ES	IT
55.09	115.22	BH	LU		IT
0.12	0.00	BJ			IT
3.16	2.50	BN			IT
45.56	0.00	BN	GB		IT
79.20	2.97	BR			IT
0.39	258.62	BR	AR		IT
1.51	0.00	BR	CH		IT
11.58	24.35	BR	CW	NL	IT
44.04	0.11	BR	DE		IT
0.20	0.00	BR	DK		IT
0.17	0.00	BR	ES		IT
1.91	0.01	BR	GB		IT
0.17	0.00	BR	PT		IT
11.58	0.05	BR	SE		IT
0.04	0.00	BW			IT
3.74	0.00	BY			IT
0.78	0.00	BZ	GB		IT
12.77	0.00	BZ	LU		IT
3.63	0.00	BZ	NL		IT
0.08	0.00	BZ	RO		IT
379.91	301.45	CA			IT
21.96	59.40	CA	AT		IT
10.43	13.12	CA	CH		IT
1.55	25.60	CA	CY		IT
0.24	0.27	CA	DE		IT
0.39	0.19	CA	ES		IT
18.92	32.03	CA	GB		IT
48.70	70.30	CA	IE		IT
42.12	0.00	CA	JY		IT
4.79	0.00	CA	KY	GB	IT
93.70	289.14	CA	LU		IT
31.90	154.13	CA	NL		IT
0.26	0.43	CA	SE		IT
0.20	0.00	CG			IT
7307.87	11913.75	CH			IT
3.30	11.33	CH	AT		IT
1.98	45.70	CH	BE		IT
76.36	111.04	CH	DE		IT
9.38	41.00	CH	DK		IT
0.19	0.12	CH	ES		IT
1.83	0.00	CH	FI		IT
65.44	255.65	CH	FR		IT
109.12	237.47	CH	GB		IT
3.79	0.00	CH	IN		IT
144.86	0.00	CH	JY		IT
2.40	0.00	CH	JY	DE	IT
2.07	0.00	CH	JY	GB	IT
28.99	0.00	CH	JY	LU	IT
5.20	0.00	CH	JY	NL	IT
824.52	3669.55	CH	LU		IT
3.10	5.13	CH	LU	FR	IT
175.41	1091.81	CH	NL		IT
0.35	4.47	CH	PT		IT
0.82	2.86	CH	US		IT
1.16	2.00	CI			IT
0.26	247.56	CL			IT
0.61	35.94	CL	PA		IT
0.83	0.50	CM			IT
523.24	96.40	CN			IT
4.39	3.01	CN	AT		IT
1.24	0.01	CN	BM		IT
92.48	27.65	CN	CH		IT
3.65	14.33	CN	CY		IT
34.48	9.20	CN	DE		IT
0.02	0.00	CN	ES		IT
8.25	3.41	CN	GB		IT
503.55	222.30	CN	HK		IT
0.79	0.00	CN	HK	DE	IT
29.80	122.43	CN	KY		IT
0.92	0.00	CN	KY	CH	IT
1.60	0.00	CN	KY	DE	IT
4.38	0.00	CN	KY	LU	IT
1.39	0.00	CN	KY	NL	IT
0.26	0.00	CN	KY	VG	IT
161.50	331.86	CN	LU		IT
202.07	245.10	CN	NL		IT
0.17	0.09	CN	NL	FR	IT
0.01	0.01	CN	RO		IT
2.82	2.00	CO			IT
6.19	0.00	CO	ES		IT
0.25	8.50	CR			IT
11.85	0.00	CU			IT
0.79	0.00	CW	KY	NZ	IT
49.49	213.36	CZ			IT
1.56	29.12	CZ	AT		IT
1.58	3.31	CZ	LU		IT
1.22	0.14	CZ	NL		IT
12910.81	20714.78	DE			IT
45.49	175.27	DE	AT		IT
27.20	112.98	DE	BE		IT
0.52	0.04	DE	BE	CH	IT
183.65	310.85	DE	CH		IT
16.23	78.94	DE	CH	LU	IT
4.39	22.17	DE	DK		IT
17.87	12.24	DE	ES		IT
21.35	91.21	DE	FR		IT
15.94	37.69	DE	GB		IT
10.34	31.96	DE	GB	FR	IT
0.80	0.00	DE	GG		IT
0.60	0.00	DE	JY		IT
13.99	0.00	DE	JY	CH	IT
0.80	0.00	DE	JY	NL	IT
0.35	0.00	DE	KY	FR	IT
