Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination	Estimate 1 (millions USD)	Estimate 2 (millions USD)
AD	AD	AD	GB	15.094641	15.094641
AO	AO	AO	GB	2.923279	2.923279
AI	AI	AI	GB	3.730575	3.730575
AG	AG	AG	GB	3.608102	0.000000
AR	AR	AR	GB	7.833587	7.833587
AU	AU	AU	GB	22687.193850	18427.866730
US	BE	AU	GB	17.875648	14.519647
CA	BM	AU	GB	248.029359	201.463963
BR	BR	AU	GB	7.486631	6.081080
CA	CA	AU	GB	61.866719	50.251770
n.a.	KY	AU	GB	1.256732	1.020792
n.a.	HK	AU	GB	2.567581	2.085539
CN	CN	AU	GB	89.145644	72.409310
n.a.	CY	AU	GB	1.234568	1.002788
FI	FI	AU	GB	0.709639	0.576410
FR	FR	AU	GB	318.178590	258.443274
DE	DE	AU	GB	2.346261	1.905770
IN	IN	AU	GB	0.520833	0.423051
JP	JP	AU	GB	68.980050	56.029634
AU	JY	AU	GB	6.981410	5.670710
CH	JY	AU	GB	0.888070	0.721343
n.a.	JY	AU	GB	1.036269	0.841719
n.a.	LU	AU	GB	1.776141	1.442686
MY	MY	AU	GB	1.516139	1.231497
NL	NL	AU	GB	0.259067	0.210430
n.a.	NL	AU	GB	0.259067	0.210430
NZ	NZ	AU	GB	62.777844	50.991839
SG	SG	AU	GB	11.154997	9.060741
ZA	ZA	AU	GB	6.696726	5.439472
CH	CH	AU	GB	4.404145	3.577304
AE	AE	AU	GB	5.511111	4.476447
ZA	GB	AU	GB	24.689667	20.054392
GB	GB	AU	GB	120.598662	97.957292
US	GB	AU	GB	0.790852	0.642377
n.a.	GB	AU	GB	6.796684	5.520665
US	US	AU	GB	593.913548	482.411346
n.a.	VG	AU	GB	0.812819	0.660219
n.a.	n.a.	AU	GB	1.388889	1.128137
AT	AT	AT	GB	1049.217753	2820.099584
BR	BR	AT	GB	3.298611	8.866045
CA	CA	AT	GB	42.714571	114.808716
CN	CN	AT	GB	10.641880	28.603369
n.a.	CY	AT	GB	0.520833	1.399902
DK	DK	AT	GB	0.259067	0.696324
FR	FR	AT	GB	31.601138	84.937903
DE	DE	AT	GB	31.307510	84.148686
IT	IT	AT	GB	0.733976	1.972789
JP	JP	AT	GB	23.153693	62.232762
GB	JY	AT	GB	63.645045	171.065886
DE	LI	AT	GB	1.467952	3.945578
n.a.	LI	AT	GB	0.297516	0.799667
n.a.	NL	AT	GB	1.234568	3.318286
RU	RU	AT	GB	1.036269	2.785297
SG	SG	AT	GB	30.663929	82.418862
ZA	ZA	AT	GB	364.419077	979.489799
SE	SE	AT	GB	0.399202	1.072979
CH	CH	AT	GB	11.177645	30.043402
TR	TR	AT	GB	2.395210	6.437872
AE	AE	AT	GB	0.314859	0.846283
n.a.	GB	AT	GB	0.889802	2.391619
US	US	AT	GB	5.788423	15.558191
CL	BS	BS	GB	16.696589	9.382244
FR	BS	BS	GB	2115.978808	1189.023061
PT	BS	BS	GB	10.880829	6.114218
GB	BS	BS	GB	271.275938	152.436945
US	BS	BS	GB	23.770362	13.357179
n.a.	BS	BS	GB	136.758914	76.848361
n.a.	BM	BS	GB	2.528616	2.781231
BR	BR	BS	GB	9.581869	5.384299
CA	CA	BS	GB	0.205339	0.115385
CN	CN	BS	GB	0.306173	0.172046
KW	KW	BS	GB	0.592047	0.332686
NL	MT	BS	GB	82.887701	46.576737
NO	MH	BS	GB	4.592593	2.580696
n.a.	PA	BS	GB	0.199601	0.112161
n.a.	GB	BS	GB	0.259067	0.145577
US	US	BS	GB	185.313911	104.132666
GB	VG	BS	GB	18.189604	10.221208
BH	BH	BH	GB	34.452062	0.000000
n.a.	JY	BH	GB	2.469136	0.000000
LY	LY	BH	GB	288.090349	0.000000
SA	SA	BH	GB	388.432580	0.000000
BD	BD	BD	GB	22.792608	22.792608
BB	BB	BB	GB	7.118412	7.118412
n.a.	BB	BB	GB	4.099753	4.099753
CA	CA	BB	GB	14.037566	14.037566
CN	CN	BB	GB	16.410186	16.410186
GB	GB	BB	GB	1706.244759	1706.244759
US	US	BB	GB	33.628265	33.628265
BY	BY	BY	GB	42.534722	42.534722
AU	AU	BE	GB	170.282429	501.703976
BE	BE	BE	GB	2465.333199	7263.623605
FR	BE	BE	GB	55.767683	164.308604
DE	BE	BE	GB	193.640976	570.525381
GR	BE	BE	GB	5.034722	14.833827
IT	BE	BE	GB	3.090435	9.105363
NO	BE	BE	GB	13.617079	40.120069
CH	BE	BE	GB	72.609819	213.930675
GB	BE	BE	GB	8.934551	26.323913
US	BE	BE	GB	101.086424	297.831438
n.a.	BE	BE	GB	179.316617	528.321451
CA	CA	BE	GB	31.001933	91.341152
n.a.	KY	BE	GB	2.849741	8.396206
n.a.	HK	BE	GB	6.454942	19.018228
FR	FR	BE	GB	2979.523267	8778.584388
DE	DE	BE	GB	12.061787	35.537704
GB	GG	BE	GB	2.794411	8.233188
IS	IS	BE	GB	0.590697	1.740375
IN	IN	BE	GB	1.837037	5.412471
US	IE	BE	GB	13.572854	39.989769
JP	JP	BE	GB	207.095520	610.166573
GB	JY	BE	GB	6.187625	18.230630
KR	KR	BE	GB	2.083333	6.138135
BE	LU	BE	GB	2.225761	6.557769
FR	LU	BE	GB	18.312388	53.953880
IN	LU	BE	GB	7.584830	22.347224
US	LU	BE	GB	32.500311	95.755829
n.a.	LU	BE	GB	5.154108	15.185575
IT	NL	BE	GB	161.533196	475.926069
NL	NL	BE	GB	18.197972	53.616776
n.a.	NL	BE	GB	22.108676	65.138903
