Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
2656.7	2708.2	AE			US
11.4	2642.6	AE	AT		US
360.3	6639.1	AE	CA		US
23.1	4723.5	AE	DE		US
779.0	14397.9	AE	ES		US
1763.3	13937.9	AE	GB		US
42.4	4355.4	AE	IN		US
1.6	768.7	AE	IT		US
1.0	1.0	AF			US
103.5	107.7	AO			US
840.4	861.4	AR			US
4145.0	4281.9	AR	ES		US
108.2	1580.0	AR	LU		US
34.4	77.3	AR	UG		US
135.8	2686.0	AT			US
0.0	2.3	AT	CA		US
15.4	632.8	AT	CH		US
1.1	71.6	AT	DE		US
0.0	5.8	AT	ES		US
0.3	25.1	AT	FR		US
0.2	8.8	AT	GB		US
2.6	354.3	AT	LU		US
273.9	2789.6	AT	NL		US
0.0	4.7	AT	SE		US
0.0	2.6	AT	TW		US
31662.4	45192.8	AU			US
0.7	115.1	AU	BE		US
9.1	748.7	AU	CA		US
0.2	230.4	AU	CH		US
7.0	461.9	AU	FR		US
185.0	5899.9	AU	GB		US
5.6	104.8	AU	HU		US
4.5	395.9	AU	IE		US
0.0	43.7	AU	JE		US
2382.4	16348.1	AU	NL		US
1.6	254.9	AU	NZ		US
1.1	88.0	AZ	GB		US
0.8	6.3	BB			US
1.0	1.0	BD			US
12378.7	42982.6	BE			US
3.1	128.8	BE	AU		US
0.2	59.2	BE	CA		US
0.0	15.3	BE	CL		US
7.6	858.9	BE	DE		US
67.0	4206.6	BE	FR		US
8.0	1629.4	BE	GB		US
1728.9	36915.9	BE	LU		US
0.5	208.7	BE	MX		US
23.5	2621.7	BE	NL		US
81.6	2830.2	BE	NL	AT	US
1.3	153.0	BE	NL	CH	US
177.5	9352.1	BE	NL	FR	US
7.1	293.5	BE	NL	GR	US
2.1	61.6	BG			US
968.7	982.0	BH	GB		US
6.3	2737.8	BH	IE	GB	US
0.0	3.9	BH	KY	IT	US
525.9	553.6	BR			US
175.6	7784.3	BR	BE		US
408.1	8447.1	BR	CA		US
14.2	3503.8	BR	DE		US
0.1	97.0	BR	ES		US
1005.2	18483.7	BR	GB		US
0.2	38.2	BR	IT		US
86.6	7155.2	BR	MX		US
1978.3	23021.6	BR	NL		US
1411.1	2540.4	BR	PA		US
0.5	610.0	BR	SE		US
0.1	66.1	BS			US
31.8	1462.2	BY	GB		US
303943.3	320666.3	CA			US
0.2	187.5	CA	AT		US
348.3	7203.7	CA	AU		US
728.9	1297.0	CA	BB		US
12989.3	53889.4	CA	BE		US
31.3	1088.4	CA	BM		US
0.1	25.8	CA	BR		US
25.1	5810.9	CA	CH		US
17.0	2133.0	CA	CY		US
