FDI source	destination	IMF CDIS data (2015)	Total ultimate investor uncertainty	Lower estimate (75% confidence)	Median estimate	Upper estimate (75% confidence)
AF	CN	9.52	0	0	0	0
AL	CN	0.31	0	0	0	0
DZ	CN	8.52	0	0	0	0
AO	CN	10.66	0	0	0	0
AI	CN	90.97	0	0	0	0
AR	CN	34.14	0	34.143	34.143	34.143
AM	CN	-28.91	0	0	0	0
AW	CN	-0.06	0	0	0	0
AU	CN	9752.70	0.849	4989.667	9772.65	18316.29
AT	CN	2544.94	0.95	1489.208	3132.982	7664.776
AZ	CN	2.36	0	0	0	0
BS	CN	3303.12	0	0	0	0
BH	CN	6.74	0	7.144	13.684	92.185
BD	CN	6.61	0	1.336	14.367	145.433
BB	CN	7068.43	0.901	0	0	0
BY	CN	13.61	0	3.977	75.067	608.563
BE	CN	1756.45	0.836	1418.664	2529.032	4957.225
BZ	CN	362.88	0	0	0	0
BJ	CN	127.30	0	0	0	0
BM	CN	11202.23	0.811	0	0	0
BT	CN	4.03	0	0	0	0
BO	CN	7.18	0	0	0	0
BA	CN	-0.07	0	0	0	0
BW	CN	1.76	0	0	0	0
BR	CN	542.94	0.909	563.981	1100.265	3350.631
BN	CN	3282.64	0	0	0	0
BG	CN	58.08	0	0	0	0
BF	CN	1.32	0	0	0	0
BI	CN	0.08	0	0	0	0
KH	CN	113.03	0	0	0	0
CM	CN	-0.02	0	0	0	0
CA	CN	11313.09	0.627	13558.607	19599.304	35800.435
KY	CN	47515.98	0.733	0	0	0
CF	CN	0.32	0	0	0	0
CL	CN	120.55	0	127.911	205.041	704.861
HK	CN	1238822.63	0.578	38188.333	79208.875	180949.837
MO	CN	7591.20	0	80.003	440.204	2074.963
CN	CN	0.00	0	876764.68	1099686.853	1281929.658
CO	CN	2.19	0	2.186	2.186	2.186
CD	CN	-0.22	0	0	0	0
CG	CN	0.17	0	0	0	0
CR	CN	4.23	0	0	0	0
CI	CN	2.49	0	0	0	0
HR	CN	3.49	0	3.511	4.214	19.636
CU	CN	90.26	0	0	0	0
CY	CN	873.02	0.978	0	0	0
CZ	CN	192.83	0	56.77	298.01	1738.096
DK	CN	4509.69	0.872	2341.296	4481.443	7936.184
DJ	CN	6.43	0	0	0	0
DM	CN	0.69	0	0	0	0
DO	CN	18.65	0	0	0	0
EC	CN	0.76	0	0	0	0
EG	CN	60.66	0	64.407	100.851	475.078
SV	CN	1.81	0	0	0	0
ER	CN	0.24	0	0	0	0
EE	CN	0.77	0	0	0	0
ET	CN	5.32	0	0	0	0
FJ	CN	1.30	0	1.303	1.303	1.303
FI	CN	1692.17	0.756	1522.168	2435.563	5110.083
FR	CN	23291.83	0.673	24773.301	35308.233	57031.983
GA	CN	12.71	0	0	0	0
GM	CN	7.94	0	0	0	0
GE	CN	0.56	0	0	0	0
DE	CN	66637.21	0.535	57467.883	75812.259	97029.878
