Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
2.4	2.4	AD			BR
35.5	35.5	AE			BR
19.6	661.5	AE	ES		BR
0.3	23.2	AE	GB		BR
0.6	106.0	AO	PT		BR
0.4	35.0	AR	ES		BR
73.4	2079.0	AR	LU		BR
167.5	2166.1	AR	US		BR
93.2	3133.1	AR	VG		BR
49.3	844.3	AT			BR
0.3	25.3	AT	CH		BR
6.1	164.5	AT	DE		BR
0.0	0.8	AT	DK		BR
0.4	42.9	AT	ES		BR
0.5	28.4	AT	FR		BR
0.0	6.0	AT	IT		BR
13.2	1134.6	AT	NL		BR
0.0	0.9	AT	NO		BR
0.4	92.2	AT	SE		BR
1.7	39.6	AT	US		BR
1835.7	2823.2	AU			BR
0.7	61.8	AU	DE		BR
0.1	13.1	AU	FR		BR
2.1	71.4	AU	GB		BR
3.3	357.2	AU	NL		BR
283.7	2657.1	AU	US		BR
4.1	870.8	AU	VG		BR
306.9	3353.7	BE			BR
0.4	31.3	BE	DE		BR
0.8	261.0	BE	ES		BR
29.9	1440.4	BE	FR		BR
0.4	49.2	BE	GB		BR
0.3	3.3	BE	GR		BR
0.0	28.2	BE	IE		BR
3.2	180.8	BE	LU		BR
11202.5	43677.7	BE	NL		BR
0.1	9.6	BE	PT		BR
0.0	0.6	BR	BE		BR
567.1	2561.6	BR	BM		BR
683.3	683.3	BR	BS		BR
2.6	303.4	BR	CA		BR
833.6	6091.2	BR	CH		BR
4.9	104.5	BR	DE		BR
24.9	1171.2	BR	ES		BR
34.0	674.0	BR	GB		BR
0.0	28.6	BR	HK		BR
3.4	484.3	BR	LU		BR
455.6	7859.5	BR	NL		BR
62.4	1102.8	BR	PT		BR
93.4	3155.0	BR	US		BR
6281.9	8409.6	CA			BR
1.0	526.3	CA	BE		BR
15.5	849.7	CA	BM		BR
3.9	143.4	CA	CH		BR
266.7	266.7	CA	CY		BR
6.2	218.1	CA	DE		BR
0.0	0.3	CA	ES		BR
0.1	20.3	CA	FR		BR
0.4	50.4	CA	GB		BR
0.1	17.3	CA	IT		BR
3.7	211.5	CA	KY		BR
363.4	3553.2	CA	LU		BR
178.4	2819.0	CA	NL		BR
1.7	116.3	CA	SE		BR
45.1	1273.8	CA	US		BR
84.1	2999.2	CA	VG		BR
1840.3	8393.3	CH			BR
12.4	514.4	CH	AU		BR
5.0	288.8	CH	DE		BR
0.0	1.9	CH	DK		BR
220.2	4191.9	CH	ES		BR
80.1	1243.8	CH	FR		BR
0.1	17.1	CH	GB		BR
0.5	17.7	CH	IT		BR
20.6	342.7	CH	JE		BR
3.8	197.9	CH	LU		BR
1.4	16.7	CH	MU		BR
1120.7	27399.2	CH	NL		BR
0.0	1.1	CH	NO		BR
0.1	9.4	CH	SE		BR
1.2	81.8	CH	US		BR
1707.0	6557.7	CL			BR
0.7	70.7	CL	BE		BR
0.0	2.7	CL	DK		BR
6.1	517.0	CL	PA		BR
0.8	26.9	CL	PE		BR
4.6	401.3	CL	UG		BR
1815.1	1815.1	CN			BR
459.9	459.9	CN	BB		BR
9.6	1027.4	CN	BE		BR
13.6	464.0	CN	BM		BR
2.8	136.9	CN	DE		BR
0.5	92.8	CN	ES		BR
1.8	244.6	CN	FR		BR
0.4	75.8	CN	GB		BR
766.9	1558.4	CN	HK		BR
9.6	329.0	CN	IT		BR
84.1	586.3	CN	KY		BR
5.0	476.4	CN	LU		BR
944.6	8531.4	CN	NL		BR
1.1	119.5	CN	NO		BR
6.9	492.2	CN	PT		BR
1.6	77.5	CN	US		BR
16.2	951.6	CN	VG		BR
858.6	875.7	CO			BR
0.3	14.3	CO	ES		BR
0.4	25.0	CY	US		BR
1.5	461.0	CZ	NL		BR
8716.0	12083.9	DE			BR
5.0	166.8	DE	AT		BR
19.1	1422.6	DE	BE		BR
33.9	813.1	DE	CH		BR
1.0	39.2	DE	CL		BR
1.2	40.7	DE	DK		BR
52.7	1907.7	DE	ES		BR
19.7	494.3	DE	FR		BR
3.5	274.3	DE	GB		BR
0.7	43.3	DE	HK		BR
0.0	8.7	DE	IE		BR
0.5	22.8	DE	IT		BR
20.1	1615.6	DE	LU		BR
0.0	6.0	DE	MT		BR
463.3	3503.2	DE	NL		BR
67.2	1098.9	DE	SE		BR
0.0	0.2	DE	SI		BR
99.8	1956.2	DE	US		BR
203.3	767.2	DK			BR
0.4	56.0	DK	CH		BR
0.1	31.5	DK	DE		BR
0.1	26.9	DK	ES		BR
0.6	83.5	DK	FI		BR
0.0	2.9	DK	FR		BR
0.5	20.2	DK	GB		BR
14.5	740.4	DK	NL		BR
2.4	106.5	DK	SE		BR
1.9	167.3	DK	US		BR
3.7	864.1	DK	VG		BR
0.1	5.7	EE	ES		BR
38384.0	52187.1	ES			BR
2.8	67.7	ES	CH		BR
21.0	1560.2	ES	CL		BR
0.1	17.3	ES	CO		BR
1.8	148.1	ES	JE		BR
19.8	1081.8	ES	NL		BR
12.0	372.5	ES	PT		BR
172.6	379.4	FI			BR
11.3	1049.6	FI	NL		BR
0.5	39.0	FI	US		BR
13956.3	20439.4	FR			BR
1394.0	7383.6	FR	BE		BR
3.0	109.6	FR	CH		BR
2.6	129.9	FR	DE		BR
138.3	5030.3	FR	ES		BR
39.8	1409.9	FR	GB		BR
66.8	1041.4	FR	IT		BR
35.3	924.9	FR	KY		BR
16.0	450.1	FR	LU		BR
576.2	6712.3	FR	NL		BR
1.2	79.3	FR	NO		BR
1.0	42.0	FR	PT		BR
3.0	130.8	FR	SE		BR
35.3	685.5	FR	US		BR
11195.7	18544.7	GB			BR
0.7	71.5	GB	AU		BR
115.4	2452.8	GB	BE		BR
63.0	1184.6	GB	BM		BR
13.6	443.3	GB	CH		BR
6.7	524.7	GB	DE		BR
19.0	682.2	GB	ES		BR
36.1	868.6	GB	FR		BR
152.0	152.0	GB	GG		BR
2.3	306.5	GB	HK		BR
0.6	123.7	GB	IE		BR
0.2	36.7	GB	IT		BR
151.4	534.2	GB	JE		BR
1.0	79.0	GB	LU		BR
63.6	2458.2	GB	NL		BR
197.2	2327.6	GB	NO		BR
4.0	102.3	GB	PT		BR
0.6	21.1	GB	RU		BR
58.6	1578.3	GB	UG		BR
366.5	9492.4	GB	US		BR
0.6	741.0	GB	VG		BR
0.0	2.9	GR			BR
0.0	6.6	GR	GB		BR
3.2	45.3	GR	MH		BR
13.4	539.1	GR	NL		BR
1.2	68.0	HK			BR
4.5	71.5	HK	BM		BR
0.0	3.1	HK	DE		BR
0.0	1.8	HK	GB		BR
7.8	425.9	HK	NL		BR
0.0	2.2	HR	IT		BR
2.4	185.9	HU			BR
4.0	290.0	ID	HK		BR
0.2	20.5	ID	MH		BR
3.4	260.5	ID	SG		BR
0.8	93.2	IE			BR
2.4	128.7	IE	GB		BR
130.9	209.7	IL			BR
1.4	87.7	IL	DE		BR
36.9	1455.4	IL	LU		BR
47.2	1520.9	IL	NL		BR
91.8	91.8	IN			BR
1.5	204.8	IN	BE		BR
10.5	231.2	IN	CH		BR
56.9	1107.4	IN	ES		BR
1.1	94.8	IN	FR		BR
16.8	350.6	IN	GB		BR
1.0	79.2	IN	IL		BR
1483.5	11022.7	IN	LU		BR
138.4	1847.7	IN	NL		BR
0.2	45.5	IN	PT		BR
