Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
234.9	538.8	AE			CN
7.7	388.0	AE	ES		CN
0.2	56.9	AE	FR		CN
0.1	7.6	AE	GB		CN
1.3	162.6	AE	SG		CN
34.1	34.1	AR			CN
376.7	1975.6	AT			CN
0.0	4.9	AT	AE		CN
2.0	178.0	AT	CH		CN
9.3	717.5	AT	DE		CN
1.0	220.1	AT	ES		CN
0.6	55.5	AT	FR		CN
0.1	20.5	AT	GB		CN
28.6	1793.1	AT	HK		CN
2.7	209.5	AT	NL		CN
25.5	804.0	AT	SG		CN
0.2	30.6	AT	TW		CN
4.4	284.5	AT	US		CN
2039.5	8722.0	AU			CN
0.2	38.7	AU	FR		CN
96.6	3863.0	AU	HK		CN
0.1	19.1	AU	KY		CN
14.7	915.3	AU	NL		CN
0.1	16.3	AU	US		CN
138.7	3971.6	AU	VG		CN
0.8	153.2	BD	HK		CN
616.9	1516.0	BE			CN
10.1	729.0	BE	AT		CN
0.7	64.7	BE	CH		CN
7.7	716.0	BE	DE		CN
44.9	1697.7	BE	FR		CN
0.5	9.3	BE	GR		CN
0.8	100.4	BE	HK		CN
0.2	11.7	BE	IT		CN
12.9	493.4	BE	LU		CN
5.7	436.5	BE	NL		CN
0.2	6.7	BE	SG		CN
6.7	6.7	BH			CN
0.5	37.5	BH	IT		CN
14.3	1949.1	BN			CN
155.7	519.8	BR			CN
6.9	383.6	BR	GB		CN
25.7	987.8	BR	HK		CN
0.0	0.4	BR	IT		CN
7.4	385.5	BR	NL		CN
1.1	178.4	BR	US		CN
5.6	405.1	BY	CY		CN
17.7	349.8	BZ			CN
7243.3	11202.1	CA			CN
33.3	1302.3	CA	AU		CN
190.8	5794.6	CA	BB		CN
3.9	131.0	CA	BM		CN
8.2	946.6	CA	DE		CN
0.0	8.3	CA	FR		CN
419.7	7044.0	CA	HK		CN
9.9	110.6	CA	IS		CN
0.0	5.0	CA	IT		CN
1.7	150.5	CA	LU		CN
0.5	103.2	CA	NL		CN
0.9	147.7	CA	SG		CN
26.8	609.8	CA	US		CN
206.4	4750.6	CA	VG		CN
1476.9	8350.3	CH			CN
8.0	297.6	CH	AT		CN
32.6	3420.8	CH	DE		CN
0.1	31.2	CH	DK		CN
17.7	1416.3	CH	FR		CN
0.7	91.8	CH	GB		CN
35.4	2555.2	CH	HK		CN
1.9	377.5	CH	IE		CN
0.7	77.4	CH	IN		CN
0.6	83.2	CH	IT		CN
10.8	1916.0	CH	JP		CN
8.5	206.2	CH	KY		CN
2.9	171.0	CH	LU		CN
15.5	2501.4	CH	MU		CN
1.3	391.8	CH	MY		CN
9.0	1740.4	CH	NL		CN
2.2	182.9	CH	SE		CN
10.8	379.5	CH	SG		CN
1.0	115.9	CH	TW		CN
3.7	294.0	CH	US		CN
6.3	1061.1	CH	VG		CN
120.5	120.5	CL			CN
0.1	7.0	CL	BE		CN
4.1	578.3	CL	PA		CN
1.2	164.0	CN	AT		CN
1.3	131.7	CN	AU		CN
1.1	110.2	CN	BE		CN
2770.9	8317.9	CN	BM		CN
10.5	1299.5	CN	CA		CN
4.1	134.4	CN	CH		CN
29.9	2787.2	CN	DE		CN
0.0	2.2	CN	DK		CN
0.1	28.2	CN	FI		CN
