Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
0.2	12.1	AD			GB
5142.6	6051.5	AE			GB
0.1	12.5	AE	AT		GB
0.4	26.0	AE	AU		GB
3.9	189.5	AE	CH		GB
1.6	61.8	AE	ES		GB
0.0	5.1	AE	GI		GB
9.3	688.6	AE	HK		GB
0.1	5.6	AE	IE		GB
0.0	3.5	AE	IN		GB
48.5	1060.7	AE	JE		GB
196.9	1546.7	AE	KY		GB
0.9	42.4	AE	LU		GB
73.3	1146.6	AE	NL		GB
0.3	24.1	AE	NO		GB
0.0	2.5	AE	PK		GB
0.1	7.9	AE	SG		GB
0.0	4.1	AE	VG		GB
0.1	7.7	AG	NL		GB
0.1	4.8	AR	LU		GB
0.0	8.4	AR	LU	US	GB
3.1	395.5	AR	LU	VG	GB
757.8	3095.8	AT			GB
221.9	2786.0	AT	CH		GB
19.1	450.4	AT	DE		GB
0.4	35.7	AT	FR		GB
8.0	378.4	AT	HK		GB
0.0	2.6	AT	IT		GB
78.9	822.0	AT	LI		GB
0.1	16.0	AT	LI	CH	GB
0.6	66.9	AT	LU		GB
57.8	1739.6	AT	NL		GB
0.7	55.3	AT	NO		GB
0.0	5.0	AT	SE		GB
0.5	139.9	AT	US		GB
13541.8	18294.4	AU			GB
51.8	1376.5	AU	BE		GB
1365.8	9938.7	AU	BM		GB
1.7	381.8	AU	BM	LU	GB
8.4	147.3	AU	CA		GB
0.4	29.0	AU	CY		GB
15.6	433.1	AU	DE		GB
32.3	620.3	AU	FR		GB
41.7	1558.1	AU	GB	NL	GB
0.1	3.7	AU	HK		GB
0.4	27.1	AU	IE		GB
0.3	48.7	AU	IE	NL	GB
62.8	588.4	AU	JE		GB
1041.1	6091.8	AU	JE	KY	GB
410.7	4964.3	AU	LU		GB
1143.5	6007.9	AU	NL		GB
0.0	1.4	AU	NZ		GB
0.2	36.5	AU	SE		GB
5.3	294.9	AU	SG		GB
42.8	514.2	AU	US		GB
1.2	49.1	AZ	LU		GB
2.6	72.7	AZ	VG		GB
0.2	16.1	BB			GB
3.7	86.1	BB	KY		GB
0.5	16.8	BD			GB
1281.6	11223.9	BE			GB
0.3	39.0	BE	DE		GB
0.3	41.4	BE	DK		GB
0.0	13.5	BE	FR		GB
1.8	56.2	BE	IE		GB
0.0	8.4	BE	IT		GB
145.5	2070.9	BE	LU		GB
0.1	13.1	BE	LU	DK	GB
0.0	19.7	BE	LU	FR	GB
0.1	33.2	BE	LU	KY	GB
18.8	824.2	BE	NL		GB
57.2	958.5	BE	NL	FR	GB
8.3	506.5	BE	NL	US	GB
84.3	1345.6	BE	US		GB
1.1	47.8	BG	DE		GB
0.3	17.7	BH			GB
0.5	25.9	BH	CW		GB
4.1	210.1	BH	IE		GB
71.9	1699.5	BH	JE		GB
42.6	715.9	BH	KY		GB
0.6	81.7	BH	KY	LU	GB
0.7	149.3	BH	KY	US	GB
0.1	25.5	BH	NL		GB
0.0	4.5	BH	NL	FR	GB
0.1	10.9	BH	US		GB
0.0	5.4	BN	JE		GB
849.0	8844.2	BN	NL		GB
17.3	42.0	BR			GB
1.5	58.3	BR	AT		GB
0.8	36.2	BR	AU		GB
2.8	118.8	BR	BM		GB
0.8	46.1	BR	BS		GB
5.8	329.0	BR	CA		GB
1.3	42.5	BR	CH		GB
0.1	25.4	BR	DK		GB
0.4	116.4	BR	IT		GB
0.4	40.3	BR	KY		GB
0.3	21.3	BR	LU		GB
4.8	198.9	BR	LU	US	GB
3.0	212.4	BR	NL		GB
5.3	149.9	BR	PT		GB
