Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
9.6	10.7	AD			IT
246.0	246.0	AE			IT
4.3	58.6	AE	LU		IT
9.4	72.4	AE	NL		IT
54.3	111.0	AL			IT
2930.1	4078.1	AT			IT
336.8	1512.2	AT	CH		IT
7.6	235.1	AT	DE		IT
1.1	23.9	AT	ES		IT
0.3	12.6	AT	FR		IT
2.1	52.1	AT	GB		IT
15.5	219.8	AT	LI		IT
0.0	2.0	AT	LI	CH	IT
3.2	66.2	AT	LU		IT
147.4	1330.9	AT	NL		IT
0.6	40.0	AT	SK		IT
96.5	216.7	AU			IT
0.3	7.7	AU	DE		IT
10.9	102.7	AU	GB		IT
0.9	28.3	AU	LU		IT
0.3	9.3	AU	NL		IT
1.5	1.5	AW			IT
0.5	0.9	AZ			IT
5.4	12.6	BA			IT
0.8	7.7	BD			IT
789.5	2129.2	BE			IT
52.3	159.7	BE	CY		IT
0.0	1.1	BE	DE		IT
124.5	1429.0	BE	FR		IT
0.4	6.9	BE	GB		IT
119.5	2873.9	BE	LU		IT
10.6	312.5	BE	NL		IT
6.0	102.9	BE	NL	FR	IT
2.8	150.4	BE	NL	LU	IT
36.4	69.9	BG			IT
0.0	4.0	BG	CZ		IT
0.8	22.4	BG	GB		IT
38.4	372.4	BH	LU		IT
0.1	3.7	BH	NL	FR	IT
0.3	6.0	BJ	LU		IT
4.6	4.6	BN			IT
8.6	100.4	BN	GB		IT
48.2	193.1	BR			IT
11.9	166.5	BR	AR		IT
0.0	1.5	BR	CH		IT
2.2	68.1	BR	CW	NL	IT
0.7	56.2	BR	DE		IT
0.0	1.1	BR	DK		IT
0.1	3.2	BR	GB		IT
0.0	1.7	BR	PT		IT
0.3	12.7	BR	SE		IT
270.0	306.3	CA			IT
7.1	196.5	CA	AT		IT
1.7	48.1	CA	CH		IT
1.5	52.9	CA	CY		IT
0.0	1.7	CA	DE		IT
0.0	0.8	CA	ES		IT
4.3	81.0	CA	GB		IT
0.1	19.5	CA	GG	GB	IT
9.0	102.1	CA	IE		IT
0.1	18.9	CA	JE		IT
59.3	673.7	CA	LU		IT
33.5	298.3	CA	NL		IT
0.0	2.1	CA	SE		IT
9067.0	13433.7	CH			IT
1.5	86.9	CH	AT		IT
5.5	172.8	CH	BE		IT
27.3	649.0	CH	DE		IT
10.0	203.1	CH	DK		IT
0.0	2.5	CH	ES		IT
100.8	723.4	CH	FR		IT
78.0	790.4	CH	GB		IT
0.8	28.1	CH	JE		IT
0.2	8.7	CH	JE	DE	IT
0.2	16.1	CH	JE	GB	IT
7.6	175.1	CH	JE	LU	IT
1.3	95.8	CH	JE	NL	IT
1520.8	5484.2	CH	LU		IT
0.5	41.7	CH	LU	FR	IT
319.0	2236.5	CH	NL		IT
0.6	39.7	CH	PT		IT
0.4	7.4	CH	US		IT
2.0	2.0	CI			IT
247.6	247.6	CL			IT
35.9	35.9	CL	PA		IT
0.5	0.5	CM			IT
98.0	99.0	CN			IT
