Estimate 1 (millions USD)	Estimate 2 (millions USD)	Real Ultimate Origin	Reported Ultimate Origin (conduit 1)	Immediate origin (conduit 2)	Destination
20.0	148.4	AE			RU
0.0	0.2	AE	AT		RU
4.9	191.0	AE	CY		RU
0.9	0.9	AI			RU
102.2	102.2	AM			RU
493.2	3905.2	AT			RU
0.0	12.5	AT	BG		RU
3.0	350.0	AT	CH		RU
53.3	1506.2	AT	CY		RU
0.0	0.8	AT	CZ		RU
0.6	100.1	AT	DE		RU
0.0	0.6	AT	GB		RU
0.2	13.8	AT	NL		RU
16.5	31.3	AU			RU
0.6	84.4	AU	CY		RU
0.0	8.1	AU	DE		RU
0.0	0.1	AU	GB		RU
134.9	134.9	AZ			RU
17.8	752.7	BE			RU
0.3	17.4	BE	AT		RU
22.4	605.2	BE	CY		RU
8.6	190.6	BE	FI		RU
0.0	8.2	BE	FR		RU
5.2	245.7	BE	LU		RU
16.6	1268.7	BE	NL		RU
0.6	52.3	BE	SI		RU
0.0	9.2	BE	TR		RU
12.2	24.7	BG			RU
0.0	1.0	BG	NL		RU
0.0	6.6	BH	CY		RU
0.0	0.0	BR			RU
0.0	1.4	BR	AT		RU
325.6	325.6	BY			RU
0.5	50.7	BY	CY		RU
0.2	29.5	BY	LV		RU
179.6	208.4	BZ			RU
0.0	0.6	BZ	CH		RU
92.4	1633.1	BZ	CY		RU
0.8	42.0	BZ	EE		RU
6.4	73.4	CA			RU
3.5	351.1	CA	AT		RU
0.1	99.2	CA	BE		RU
43.8	1211.4	CA	CY		RU
0.0	1.9	CA	CZ		RU
0.0	2.4	CA	DE		RU
0.0	0.4	CA	ES		RU
0.6	136.9	CA	GB		RU
0.0	2.5	CA	IL		RU
0.0	1.5	CA	NL		RU
0.0	0.5	CA	US		RU
0.1	0.1	CG			RU
86.1	3981.7	CH			RU
0.1	11.8	CH	AT		RU
17.8	917.0	CH	CY		RU
0.1	10.9	CH	CZ		RU
12.1	1032.3	CH	DE		RU
0.4	319.6	CH	FI		RU
0.0	0.8	CH	FR		RU
0.9	72.5	CH	GB		RU
0.0	6.5	CH	IT		RU
0.9	487.8	CH	LU		RU
0.7	80.1	CH	NL		RU
1683.0	1683.0	CN			RU
0.0	0.0	CN	AT		RU
4.2	782.2	CN	CY		RU
0.1	23.1	CN	DE		RU
0.0	5.3	CN	GB		RU
5.1	292.8	CN	IT		RU
1.5	71.6	CN	NL		RU
1.9	172.8	CN	SG		RU
0.0	0.0	CO			RU
0.0	1.8	CO	ES		RU
0.2	13.0	CY			RU
17.4	179.6	CZ			RU
94.7	6590.1	CZ	CY		RU
64.7	1964.2	CZ	NL		RU
4363.5	12557.6	DE			RU
0.0	5.9	DE	AE		RU
34.6	1058.3	DE	AT		RU
1.3	80.5	DE	BE		RU
6.4	471.9	DE	CH		RU
6.8	491.6	DE	CY		RU
0.0	1.4	DE	CZ		RU
0.2	62.2	DE	DK		RU
0.0	26.3	DE	FI		RU
0.2	18.5	DE	FR		RU
1.0	51.2	DE	GB		RU
0.0	0.3	DE	LT		RU
0.3	64.0	DE	LU		RU
8.1	441.0	DE	NL		RU
0.0	6.5	DE	PL		RU
3.4	271.7	DE	SE		RU
0.0	4.8	DE	SK		RU
0.0	11.3	DE	UA		RU
0.0	1.2	DE	US		RU
157.3	292.6	DK			RU
0.2	16.6	DK	CY		RU
0.2	129.2	DK	FI		RU
0.0	0.8	DK	IT		RU
0.0	39.1	DK	LV		RU
0.2	81.8	DK	SE		RU
0.1	9.5	DK	US		RU
0.6	51.5	DM	GB		RU
0.2	0.2	DZ			RU
14.1	94.1	EE			RU
0.1	21.1	EE	CY		RU
0.1	17.4	EE	LT		RU
0.0	0.1	EE	LV		RU
39.5	181.8	ES			RU
0.0	0.8	ES	AT		RU
1.0	121.3	ES	CH		RU
0.2	93.1	ES	DE		RU
0.0	3.0	ES	NL		RU
0.0	3.8	ES	PL		RU
2142.5	6576.7	FI			RU
3.0	330.1	FI	CH		RU
0.1	14.4	FI	CY		RU
0.0	1.2	FI	DE		RU
0.1	18.5	FI	EE		RU
0.2	45.2	FI	LV		RU
80.4	2705.3	FI	NL		RU
0.6	117.7	FI	SE		RU
8556.2	9907.2	FR			RU
0.2	25.2	FR	AT		RU
10.0	260.6	FR	BE		RU
0.4	64.4	FR	CH		RU
41.0	992.3	FR	CY		RU
0.0	5.9	FR	CZ		RU
9.0	343.2	FR	DE		RU
0.0	0.4	FR	ES		RU
0.2	35.4	FR	FI		RU
0.1	45.1	FR	GB		RU
1.3	175.6	FR	IT		RU
212.3	2427.0	FR	NL		RU
525.4	4241.7	GB			RU
0.0	1.4	GB	CH		RU
86.8	2234.9	GB	CY		RU
0.1	15.4	GB	CZ		RU
1.0	66.9	GB	DE		RU
0.0	2.8	GB	ES		RU
11.5	734.4	GB	FI		RU
4.8	572.8	GB	FR		RU
0.0	2.0	GB	IT		RU
0.2	46.2	GB	JE		RU
173.2	2844.5	GB	NL		RU
4.4	457.6	GB	SE		RU
0.0	0.1	GB	US		RU
3.4	3.4	GE			RU
86.9	86.9	GR			RU
1.9	49.1	GR	CY		RU
0.7	67.2	GR	NL		RU
189.5	7093.4	HK	BM		RU
0.0	13.3	HK	DE		RU
0.0	2.2	HK	LV		RU
20.6	20.6	HR			RU
1.0	53.2	HR	AT		RU
0.1	8.7	HR	SI		RU
411.2	411.2	HU			RU
3.2	761.6	HU	NL		RU
0.3	140.2	IE			RU
0.3	39.8	IE	BE		RU
0.0	2.0	IE	CH		RU
0.0	0.7	IE	FI		RU
0.4	96.7	IE	NL		RU
151.9	154.4	IL			RU
34.3	3065.8	IL	CY		RU
0.1	101.4	IL	JE		RU
1.2	47.1	IL	NL		RU
0.0	3.6	IL	SI		RU
66.6	66.6	IN			RU
10.5	494.9	IN	CY		RU
0.4	91.3	IN	DE		RU
0.0	12.9	IN	FI		RU
0.0	9.2	IN	IT		RU
0.0	0.7	IN	KZ		RU
0.5	40.4	IN	NL		RU
1.2	150.7	IR			RU
0.3	167.8	IR	CH		RU
0.0	2.1	IR	JE		RU
0.0	6.5	IS	FI		RU
0.1	34.1	IS	NL		RU
174.4	887.9	IT			RU
231.9	3782.6	IT	AT		RU
0.4	27.3	IT	CH		RU
0.0	0.4	IT	CY		RU
24.9	1083.6	IT	DE		RU
0.0	1.1	IT	DK		RU
0.2	32.1	IT	ES		RU
0.2	40.3	IT	FI		RU
0.1	48.8	IT	FR		RU
0.1	42.2	IT	GB		RU
18.5	1460.7	IT	LU		RU
124.8	2497.3	IT	NL		RU
0.0	4.3	IT	PL		RU
0.1	8.6	IT	SE		RU
1.8	210.7	IT	US		RU
4.1	4.1	JO			RU
1319.1	1319.1	JP			RU
19.9	816.9	JP	BE		RU
1.3	168.9	JP	CY		RU
9.9	1728.6	JP	DE		RU
0.0	2.7	JP	DK		RU
2.7	704.0	JP	FI		RU
1.4	162.9	JP	FR		RU
3.8	172.9	JP	GB		RU
5.2	547.8	JP	NL		RU
0.4	35.0	JP	NO		RU
1.7	420.8	JP	SE		RU
0.0	0.2	JP	SG		RU
56.9	56.9	KG			RU
0.0	0.7	KH			RU
28.7	28.7	KI			RU
90.5	90.5	KN			RU
0.2	24.6	KN	CY		RU
7.5	376.4	KP			RU
1289.4	1289.4	KR			RU
37.2	2301.6	KR	DE		RU
15.5	838.7	KR	NL		RU
0.4	0.4	KW			RU
4.2	872.2	KW	CY		RU
915.2	916.0	KZ			RU
1.1	148.9	KZ	GB		RU
15.5	15.5	LB			RU
0.7	48.5	LB	CY		RU
0.0	1.4	LB	TR		RU
0.2	29.2	LI			RU
0.8	0.8	LK			RU
75.6	137.7	LT			RU
41.5	41.5	MD			RU
0.0	7.3	MX	ES		RU
0.1	12.1	MX	NL		RU
14.6	483.2	MY			RU
0.0	4.5	MY	SG		RU
0.1	0.1	NG			RU
187.3	3951.6	NL			RU
0.0	3.1	NL	FR		RU
16.9	144.7	NO			RU
0.0	1.0	NO	AT		RU
5.9	163.7	NO	CY		RU
0.0	1.7	NO	DE		RU
0.0	1.0	NO	DK		RU
0.0	8.9	NO	FI		RU
0.1	10.9	NO	GB		RU
0.0	18.1	NO	LT		RU
0.0	2.6	NO	NL		RU
0.3	51.9	NO	SE		RU
0.9	0.9	NZ			RU
0.0	0.3	NZ	AU		RU
0.1	10.8	NZ	LU		RU
0.4	44.6	NZ	NL		RU
0.7	552.0	OM	MH		RU
0.8	0.8	PK			RU
177.8	293.9	PL			RU
2.2	86.3	PL	CY		RU
10.0	10.0	PT			RU
0.4	46.7	PT	ES		RU
0.0	9.1	PT	FR		RU
0.4	64.2	PT	IT		RU
8.7	8.7	RO			RU
38.5	41.4	RS			RU
2.7	115.4	RU	AT		RU
0.0	2.9	RU	AU		RU
2.3	184.9	RU	BE		RU
6337.1	13246.4	RU	BM		RU
0.2	29.0	RU	BZ		RU
8.0	75.0	RU	CA		RU
2863.4	7514.8	RU	CH		RU
53462.3	80162.7	RU	CY		RU
0.6	56.1	RU	CZ		RU
8.8	298.4	RU	DE		RU
0.4	14.8	RU	EE		RU
1.5	103.4	RU	FR		RU
1301.0	4609.6	RU	GB		RU
26.6	1081.7	RU	GG		RU
29.6	36.6	RU	GI		RU
67.9	2952.5	RU	IE		RU
